timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2026-02-11T12:28:54.579727,1,student_1_lec_0857dbe3_72eef377,lec_0857dbe3,cn123,1,0.95,engaged,54.38,-0.0017,-0.0008,-0.005,0.0025,-0.0037,-0.0052,-3.33,-157.68,213.62,-236.12,2629.24,-166.0,25.47,-7.87,1.74,1.14,3.26,2.91,4.24,2.09,2.61,3.59,2.3,1.61,2.7,5.0,1.92,2.45,2.55,4.48,0.0,3.27,2.05,0
2026-02-11T12:28:55.506016,2,student_1_lec_0857dbe3_72eef377,lec_0857dbe3,cn123,1,0.95,engaged,56.62,-0.0049,-0.0025,-0.0053,-0.0013,-0.0038,-0.0055,-152.01,-149.71,223.48,-248.67,2576.31,-166.13,26.25,-5.61,1.64,1.0,3.36,3.28,4.41,1.72,2.59,3.53,2.38,1.67,2.62,5.0,1.99,2.32,2.68,4.81,0.0,3.4,2.0,0
2026-02-11T12:28:56.512867,3,student_1_lec_0857dbe3_72eef377,lec_0857dbe3,cn123,1,0.95,engaged,55.58,-0.0051,-0.0013,-0.0052,0.0014,-0.0027,-0.0054,14.85,-159.71,253.83,-276.14,2563.32,-168.43,23.26,-4.41,1.84,1.24,3.16,2.98,4.45,2.02,2.61,3.94,2.51,1.75,2.49,5.0,2.09,1.11,3.89,5.0,0.0,3.48,2.08,0
2026-02-11T12:28:57.568587,4,student_1_lec_0857dbe3_72eef377,lec_0857dbe3,cn123,1,0.95,engaged,54.71,-0.0036,-0.0005,-0.005,0.0021,-0.0019,-0.0053,7.09,-167.37,217.79,-322.12,2474.12,-169.19,33.05,-4.0,2.1,1.56,2.9,2.86,4.42,2.14,2.67,3.12,2.42,1.69,2.58,5.0,2.02,0.0,5.0,5.0,0.0,3.42,2.19,0
2026-02-11T12:28:58.571781,5,student_1_lec_0857dbe3_72eef377,lec_0857dbe3,cn123,1,0.95,engaged,54.96,-0.0046,-0.0022,-0.0052,-0.0,-0.0023,-0.0055,-159.28,-157.14,257.9,-314.16,2551.47,-169.87,29.75,-3.39,2.01,1.4,2.99,2.98,4.29,2.02,2.5,4.1,2.43,1.7,2.57,5.0,2.02,0.52,4.48,5.0,0.0,3.36,2.13,0
2026-02-11T12:28:59.587812,6,student_1_lec_0857dbe3_72eef377,lec_0857dbe3,cn123,1,0.95,engaged,55.49,-0.0099,0.0012,-0.0049,0.0002,-0.0044,-0.0052,30.74,13.01,202.76,-260.44,2542.96,-168.97,31.34,-6.54,1.53,0.89,3.47,3.05,4.29,1.95,2.58,4.02,2.46,1.72,2.54,5.0,2.05,1.24,3.76,4.81,0.0,3.38,1.96,0
2026-02-11T12:29:00.595255,7,student_1_lec_0857dbe3_72eef377,lec_0857dbe3,cn123,1,0.95,engaged,55.37,-0.0066,-0.0015,-0.0051,0.0001,-0.0019,-0.0053,25.8,-161.73,225.63,-289.11,2523.55,-170.37,32.32,-3.98,1.99,1.4,3.01,2.99,4.34,2.01,2.61,4.06,2.56,1.79,2.44,5.0,2.13,0.44,4.56,5.0,0.0,3.45,2.13,0
2026-02-11T12:29:01.601734,8,student_1_lec_0857dbe3_72eef377,lec_0857dbe3,cn123,1,0.95,partially_engaged,33.71,0.0012,0.0004,-0.0029,0.001,-0.0067,-0.0034,160.97,27.94,-4.8,256.75,-2570.47,162.19,52.28,163.49,2.21,1.89,2.79,1.45,4.8,3.55,2.66,4.8,1.58,1.11,3.42,5.0,1.32,2.0,3.0,4.34,5.0,3.19,2.3,7.1
2026-02-11T12:29:02.656541,9,student_1_lec_0857dbe3_72eef377,lec_0857dbe3,cn123,1,0.95,engaged,54.05,-0.0026,-0.0008,-0.0036,0.0073,-0.003,-0.0044,-11.75,-156.59,-11.54,-165.49,-137.33,-169.22,0.01,-3.71,1.61,1.07,3.39,2.92,4.29,2.08,2.37,3.89,2.0,1.4,3.0,5.0,1.67,0.86,4.14,4.95,0.0,3.15,2.02,0
2026-02-11T12:29:03.734418,10,student_1_lec_0857dbe3_72eef377,lec_0857dbe3,cn123,0,0.0,no_face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
