timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-11-26T04:43:23.407536,1,student_1_lec_99983acc_170498f4,lec_99983acc,iot101,1,0.95,engaged,52.24,0.0039,-0.0033,-0.0046,0.009,-0.004,-0.0049,128.97,-142.27,13.39,328.55,2531.99,-173.0,20.91,-5.07,1.99,1.51,3.01,2.34,4.0,2.66,2.58,2.86,2.9,2.03,2.1,5.0,2.42,2.44,2.56,4.8,0.0,3.45,2.17,0.32
2025-11-26T04:43:24.313265,2,student_1_lec_99983acc_170498f4,lec_99983acc,iot101,1,0.95,engaged,55.73,-0.0093,-0.0011,-0.0053,-0.0006,-0.0038,-0.0052,-146.64,-156.11,136.73,319.82,2468.54,176.91,4.29,-2.9,2.56,1.92,2.44,3.12,4.46,1.88,2.67,4.31,2.37,1.66,2.63,5.0,1.97,0.0,5.0,5.0,0.0,3.42,2.31,0
2025-11-26T04:43:25.321111,3,student_1_lec_99983acc_170498f4,lec_99983acc,iot101,1,0.95,engaged,55.98,-0.0119,-0.0005,-0.0055,-0.0006,-0.0039,-0.0054,-144.15,-159.54,155.33,323.37,2480.38,-178.27,-1.6,-2.84,2.5,1.89,2.5,3.04,4.45,1.96,2.71,3.95,2.71,1.9,2.29,5.0,2.26,0.81,4.19,5.0,0.0,3.58,2.3,0
2025-11-26T04:43:26.490483,4,student_1_lec_99983acc_170498f4,lec_99983acc,iot101,1,0.95,engaged,54.41,-0.0055,-0.0029,-0.0056,0.0005,-0.0037,-0.0055,19.55,-149.21,166.72,307.61,2537.95,177.94,-1.57,-2.51,2.56,1.94,2.44,2.83,4.3,2.17,2.52,3.97,2.57,1.8,2.43,5.0,2.14,1.63,3.37,5.0,0.0,3.43,2.31,0
2025-11-26T04:43:27.517227,5,student_1_lec_99983acc_170498f4,lec_99983acc,iot101,1,0.95,engaged,56.12,-0.0047,-0.0028,-0.0055,0.0013,-0.0032,-0.0054,13.42,-151.22,165.27,301.35,2451.37,177.32,-2.72,-2.3,2.28,1.67,2.72,3.06,4.55,1.94,2.64,4.32,2.55,1.78,2.45,5.0,2.12,1.34,3.66,5.0,0.0,3.55,2.22,0
2025-11-26T04:43:28.528799,6,student_1_lec_99983acc_170498f4,lec_99983acc,iot101,1,0.95,engaged,55.9,-0.0072,-0.003,-0.0056,0.0006,-0.004,-0.0055,22.84,-147.9,165.71,308.59,2429.53,176.91,-4.25,-1.74,2.56,1.94,2.44,3.0,4.7,2.0,2.66,4.4,2.4,1.68,2.6,5.0,2.0,0.1,4.9,5.0,0.0,3.55,2.31,0
2025-11-26T04:43:29.564184,7,student_1_lec_99983acc_170498f4,lec_99983acc,iot101,1,0.95,engaged,56.17,-0.0095,-0.0016,-0.0056,0.0002,-0.0051,-0.0055,28.71,-150.36,167.2,311.38,2405.62,176.7,-3.3,-1.27,2.67,2.04,2.33,3.04,4.65,1.96,2.7,4.4,2.55,1.79,2.45,5.0,2.13,0.09,4.91,5.0,0.0,3.6,2.35,0
2025-11-26T04:43:30.567207,8,student_1_lec_99983acc_170498f4,lec_99983acc,iot101,1,0.95,engaged,57.79,-0.0125,-0.0064,-0.0045,0.0036,-0.0031,-0.0039,14.05,-132.98,62.33,210.8,2306.4,174.63,-22.09,-1.7,1.67,1.23,3.33,2.86,4.95,2.14,2.65,4.2,3.29,2.3,1.71,5.0,2.74,0.0,5.0,5.0,0.0,4.12,2.08,0
2025-11-26T04:43:31.576112,9,student_1_lec_99983acc_170498f4,lec_99983acc,iot101,1,0.95,engaged,51.07,0.0025,0.0006,-0.0048,-0.0003,0.0009,-0.0047,-12.07,171.01,232.44,388.21,2496.26,-174.48,-1.63,4.5,4.45,3.61,0.55,2.0,4.33,3.0,2.48,3.37,2.97,2.08,2.03,5.0,2.48,1.05,3.95,4.95,0.0,3.65,2.87,1.0
2025-11-26T04:43:32.623839,10,student_1_lec_99983acc_170498f4,lec_99983acc,iot101,1,0.95,engaged,52.99,-0.0044,-0.0011,-0.005,0.0048,-0.0039,-0.0051,-0.83,-155.05,-48.55,-241.02,-2656.13,-173.06,26.49,-172.82,3.05,2.47,1.95,2.65,4.1,2.35,2.37,3.44,2.61,1.83,2.39,5.0,2.18,0.91,4.09,5.0,0.0,3.35,2.49,0
