timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2026-02-10T12:05:36.507205,1,student_1_lec_99983acc_7879af51,lec_99983acc,iot101,1,0.95,engaged,52.96,-0.0073,0.0005,-0.0053,0.0005,-0.002,-0.0056,24.42,7.02,6.62,433.87,2420.74,173.46,12.24,-9.64,2.08,1.4,2.92,2.31,4.28,2.69,2.81,3.81,2.94,2.06,2.06,5.0,2.45,2.43,2.57,5.0,0.0,3.61,2.13,0.38
2026-02-10T12:05:37.453343,2,student_1_lec_99983acc_7879af51,lec_99983acc,iot101,1,0.95,engaged,57.73,-0.0065,-0.0009,-0.0054,0.0033,-0.0039,-0.0057,10.17,-157.87,-3.25,448.09,2226.88,164.22,26.12,-6.04,3.16,2.37,1.84,3.23,4.74,1.77,2.9,4.96,2.89,2.03,2.11,5.0,2.41,0.0,5.0,5.0,0.0,3.82,2.46,0
2026-02-10T12:05:38.464264,3,student_1_lec_99983acc_7879af51,lec_99983acc,iot101,0,0.0,no_face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-10T12:05:39.557218,4,student_1_lec_99983acc_7879af51,lec_99983acc,iot101,1,0.95,engaged,57.2,-0.0072,-0.0023,-0.0056,0.0018,-0.0038,-0.0058,17.57,-151.81,66.91,95.94,2188.0,178.98,25.02,-3.08,3.42,2.74,1.58,3.07,5.0,1.93,3.0,5.0,2.66,1.86,2.34,5.0,2.22,0.14,4.86,5.0,0.0,3.83,2.58,0
2026-02-10T12:05:40.561694,5,student_1_lec_99983acc_7879af51,lec_99983acc,iot101,1,0.95,engaged,52.21,-0.0061,-0.0006,-0.0045,0.0041,-0.0018,-0.0047,6.18,-165.87,-103.85,-269.47,-2567.24,168.8,13.51,175.04,2.35,1.87,2.65,2.41,3.9,2.59,1.98,5.0,2.93,2.05,2.07,4.79,2.44,0.0,5.0,5.0,0.0,3.42,2.29,0.18
2026-02-10T12:05:41.567009,6,student_1_lec_99983acc_7879af51,lec_99983acc,iot101,1,0.95,engaged,61.26,-0.0054,-0.0013,-0.006,0.003,-0.0007,-0.006,7.71,-170.55,43.37,347.83,2286.78,-177.94,8.67,-2.51,2.85,2.06,2.15,3.92,4.83,1.08,2.96,4.7,3.0,2.1,2.0,5.0,2.5,1.31,3.69,5.0,0.0,3.92,2.35,0
2026-02-10T12:05:42.576126,7,student_1_lec_99983acc_7879af51,lec_99983acc,iot101,1,0.95,engaged,57.32,-0.0072,-0.0012,-0.0059,0.0016,-0.0024,-0.0061,17.95,-163.55,17.38,339.6,2205.85,179.1,13.04,-3.16,3.17,2.44,1.83,2.79,4.89,2.21,3.11,3.99,3.51,2.46,1.49,5.0,2.93,2.11,2.89,5.0,0.0,4.2,2.48,0
2026-02-10T12:05:43.584092,8,student_1_lec_99983acc_7879af51,lec_99983acc,iot101,1,0.95,engaged,58.18,-0.0085,-0.0019,-0.0061,0.0019,-0.0043,-0.0063,18.74,-154.11,17.62,334.98,2180.96,176.14,16.33,-3.69,3.19,2.45,1.81,3.0,4.96,2.0,3.07,4.17,3.38,2.37,1.62,5.0,2.82,1.65,3.35,5.0,0.0,4.17,2.48,0
2026-02-10T12:05:44.623979,9,student_1_lec_99983acc_7879af51,lec_99983acc,iot101,1,0.95,engaged,58.14,-0.0075,-0.0011,-0.0062,0.0019,-0.0032,-0.0064,17.13,-161.81,18.41,330.42,2177.2,173.68,16.13,-4.5,3.09,2.39,1.91,3.03,5.0,1.97,3.0,4.51,3.21,2.25,1.79,5.0,2.68,1.64,3.36,5.0,0.0,4.11,2.46,0
2026-02-10T12:05:45.627480,10,student_1_lec_99983acc_7879af51,lec_99983acc,iot101,0,0.0,no_face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
