timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-10-24T09:38:13.710855,1,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,partially_engaged,31.59,-0.0056,0.0002,-0.0037,-0.0046,-0.0011,-0.0035,-125.6,7.02,117.63,106.43,3109.8,-168.27,-16.31,-1.34,3.83,3.15,1.17,1.38,3.54,3.62,2.36,3.73,1.97,1.38,3.03,4.67,1.64,1.88,3.12,3.34,5.0,2.75,2.72,7.24
2025-10-24T09:38:14.693227,2,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,64.51,-0.0025,0.001,-0.0039,0.0012,-0.0042,-0.004,8.18,15.9,-42.0,106.1,2855.87,-165.45,21.74,1.67,3.02,2.18,1.98,2.73,4.0,2.27,2.61,2.92,2.24,1.57,2.76,5.0,1.87,1.65,3.35,3.67,0.0,3.12,2.39,0
2025-10-24T09:38:15.716449,3,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,63.12,-0.0014,0.0005,-0.0037,0.0015,-0.0049,-0.0037,-1.14,22.03,30.11,110.06,3025.28,-165.33,14.21,0.1,2.66,1.99,2.34,2.53,3.87,2.47,2.58,2.62,2.1,1.47,2.9,5.0,1.75,2.8,2.2,3.58,0.0,2.99,2.33,0
2025-10-24T09:38:16.758890,4,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,51.51,-0.0025,-0.0013,-0.0041,0.0035,-0.0038,-0.0039,-5.18,-148.9,192.32,85.52,2990.34,-169.86,-15.58,-2.77,2.59,1.96,2.41,2.59,3.79,2.41,2.25,2.88,2.29,1.6,2.71,5.0,1.91,2.66,2.34,4.01,0.0,3.04,2.32,0
2025-10-24T09:38:17.781312,5,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,50.49,-0.0045,-0.0021,-0.0041,0.0013,-0.0052,-0.004,15.02,-140.35,181.8,102.51,3065.88,-169.45,-16.33,-3.69,2.74,2.05,2.26,2.44,3.87,2.56,2.36,2.91,1.98,1.39,3.02,5.0,1.65,2.61,2.39,3.73,0.0,2.92,2.35,0.12
2025-10-24T09:38:18.806634,6,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,50.98,-0.0094,-0.0012,-0.0041,-0.0003,-0.003,-0.004,-144.32,-153.01,122.58,106.07,3082.74,-171.1,-6.53,-4.1,2.45,1.79,2.55,2.58,3.74,2.42,2.37,3.1,2.06,1.44,2.94,5.0,1.72,1.93,3.07,3.77,0.0,2.9,2.26,0
2025-10-24T09:38:19.813516,7,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,53.34,-0.0084,-0.0017,-0.0042,0.0005,-0.0049,-0.0041,28.33,-143.69,139.04,121.06,2963.4,-167.82,-10.21,-3.15,2.95,2.14,2.05,2.92,3.96,2.08,2.5,2.74,2.3,1.61,2.7,5.0,1.91,2.05,2.95,3.65,0.0,3.13,2.38,0
2025-10-24T09:38:20.838641,8,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,52.14,-0.0062,-0.002,-0.0042,-0.0018,-0.0047,-0.0041,-140.22,-142.43,121.15,137.96,2915.75,-165.0,-8.07,-4.5,2.29,1.65,2.71,2.54,4.12,2.46,2.57,2.89,2.21,1.55,2.79,5.0,1.84,2.5,2.5,3.58,0.0,3.17,2.22,0
2025-10-24T09:38:21.875896,9,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,51.72,-0.0026,-0.0025,-0.0041,0.0,-0.0051,-0.0042,16.08,-138.66,32.81,153.26,2887.88,-165.43,11.5,-2.73,2.15,1.6,2.85,2.46,4.12,2.54,2.55,2.75,2.16,1.51,2.84,5.0,1.8,2.2,2.8,3.75,0.0,3.14,2.2,0.08
2025-10-24T09:38:22.900254,10,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,partially_engaged,49.73,-0.0009,-0.0025,-0.0043,-0.0029,-0.0061,-0.0043,-157.4,-137.75,47.07,150.54,2875.74,-165.46,9.19,-1.3,2.82,2.15,2.18,2.03,4.11,2.97,2.53,2.98,2.2,1.54,2.8,5.0,1.83,2.14,2.86,3.75,0.0,3.16,2.38,0.94
2025-10-24T09:38:23.925251,11,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,52.44,-0.0016,-0.001,-0.0045,-0.0017,-0.0088,-0.0045,-159.7,-142.3,72.57,158.39,2885.63,-166.18,7.06,-2.29,2.61,1.94,2.39,2.6,4.14,2.4,2.52,2.97,2.26,1.58,2.74,5.0,1.88,2.37,2.63,3.76,0.0,3.2,2.31,0
2025-10-24T09:38:24.935697,12,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,54.2,-0.0004,-0.0051,-0.0043,0.0007,-0.0054,-0.0043,-2.14,-129.46,76.66,159.5,2860.94,-167.25,8.32,-2.02,2.57,1.88,2.43,2.93,4.23,2.07,2.48,3.08,2.3,1.61,2.7,5.0,1.91,2.32,2.68,3.87,0.0,3.27,2.29,0
2025-10-24T09:38:25.958279,13,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,74.17,-0.003,0.0014,-0.0041,0.0024,-0.0038,-0.0042,2.94,11.42,-13.93,-163.09,-3075.05,-162.13,13.12,-178.62,3.65,2.99,1.35,2.3,3.81,2.7,2.85,2.94,2.4,1.68,2.6,5.0,2.0,2.33,2.67,3.21,0.0,3.1,2.66,0.4
2025-10-24T09:38:26.996126,14,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,63.6,0.0048,0.0024,-0.0039,-0.0013,-0.0028,-0.0042,-16.9,0.81,-94.42,186.46,2682.35,-160.49,23.0,-3.54,2.32,1.69,2.68,2.4,3.96,2.6,2.77,2.78,2.49,1.74,2.51,5.0,2.07,2.01,2.99,3.23,0.0,3.23,2.23,0.2
2025-10-24T09:38:28.002781,15,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,51.42,0.0009,-0.0055,-0.0037,0.0006,-0.0044,-0.004,169.38,-128.25,-64.64,191.71,2719.02,-159.37,21.79,-3.43,2.11,1.48,2.89,2.45,4.03,2.55,2.72,2.66,2.13,1.49,2.87,5.0,1.77,2.56,2.44,3.08,0.0,3.08,2.16,0.1
2025-10-24T09:38:29.011829,16,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,partially_engaged,46.89,0.0012,0.0011,-0.0039,0.0006,-0.0013,-0.0041,167.43,1.08,-47.72,167.95,2784.86,-161.72,21.73,-1.28,3.92,3.25,1.08,1.56,3.97,3.44,2.78,3.12,2.16,1.51,2.84,5.0,1.8,2.33,2.67,3.41,0.0,3.07,2.75,1.88
2025-10-24T09:38:30.021467,17,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,51.16,-0.0024,-0.0013,-0.0037,0.0035,-0.0056,-0.0039,-4.54,-143.2,-57.01,195.07,2756.24,-161.68,22.53,-2.74,2.38,1.72,2.62,2.44,4.05,2.56,2.91,2.52,2.02,1.42,2.98,5.0,1.69,2.59,2.41,3.09,0.0,3.04,2.24,0.12
2025-10-24T09:38:31.044829,18,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,50.43,0.0008,0.0021,-0.004,0.002,-0.005,-0.0043,161.48,10.71,-64.98,187.95,2762.64,-163.22,24.27,-5.1,2.27,1.6,2.73,2.35,4.03,2.65,2.76,2.66,1.84,1.29,3.16,5.0,1.54,2.5,2.5,3.48,0.0,2.94,2.2,0.3
2025-10-24T09:38:32.070499,19,student_4_lec_2a96290c_3b05caef,lec_2a96290c,cv101,1,0.95,engaged,53.02,0.0001,-0.0006,-0.0041,0.0011,0.003,-0.0043,172.52,-13.11,-46.45,182.65,2687.88,-163.61,22.31,-4.4,3.04,2.36,1.96,2.81,4.13,2.19,2.85,2.89,2.17,1.52,2.83,5.0,1.81,2.39,2.61,3.38,0.0,3.15,2.45,0
