timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-11-24T16:58:26.475858,1,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,partially_engaged,45.35,0.0002,-0.0006,-0.0028,0.0086,-0.0014,-0.0026,141.11,-160.06,-145.57,479.67,3756.99,175.28,-26.38,-0.54,1.5,1.11,3.5,1.76,3.11,3.24,1.87,3.37,1.7,1.19,3.3,4.93,1.41,1.49,3.51,3.39,0.0,2.4,2.04,1.48
2025-11-24T16:58:27.517254,2,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,engaged,50.09,-0.0055,0.0003,-0.0037,-0.0002,-0.0013,-0.0039,-150.88,6.44,-279.18,549.03,3463.58,-178.14,10.14,-1.52,2.0,1.44,3.0,2.64,3.36,2.36,2.07,3.64,1.92,1.34,3.08,4.06,1.6,2.8,2.2,3.17,0.0,2.64,2.15,0
2025-11-24T16:58:28.552065,3,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,engaged,52.76,-0.0027,-0.0007,-0.0038,0.0024,-0.0018,-0.0038,1.7,-161.58,-187.4,534.09,3179.85,-178.56,2.3,-1.29,1.91,1.29,3.09,2.94,3.77,2.06,2.35,3.31,2.05,1.43,2.95,5.0,1.71,1.8,3.2,3.67,0.0,2.91,2.1,0
2025-11-24T16:58:29.555432,4,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,partially_engaged,46.74,-0.0018,-0.0006,-0.0039,-0.002,-0.0022,-0.004,-154.71,-161.03,-171.14,520.74,3239.41,177.08,-1.59,-0.26,2.54,2.01,2.46,1.64,3.65,3.36,2.21,3.52,2.13,1.49,2.87,5.0,1.78,1.7,3.3,4.14,0.0,2.89,2.34,1.72
2025-11-24T16:58:30.601743,5,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,engaged,51.69,-0.0088,-0.0001,-0.0037,-0.0014,-0.0013,-0.0039,-136.28,-170.17,-250.73,517.37,3188.61,178.04,10.97,-4.22,1.88,1.36,3.12,2.77,3.64,2.23,2.18,3.36,2.07,1.45,2.93,5.0,1.73,2.05,2.95,4.14,0.0,2.85,2.12,0
2025-11-24T16:58:31.654974,6,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,engaged,52.1,-0.0057,-0.0014,-0.0038,-0.001,-0.0012,-0.004,-145.09,-161.43,-281.98,528.59,3107.39,179.33,12.8,-6.81,1.38,0.88,3.62,2.76,3.72,2.24,2.23,3.42,2.11,1.48,2.89,5.0,1.76,2.01,2.99,4.01,0.0,2.92,1.96,0
2025-11-24T16:58:32.713372,7,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,engaged,52.47,-0.0025,-0.0031,-0.0037,0.0008,-0.0023,-0.0039,11.03,-144.91,-304.89,542.76,3084.17,-179.32,14.76,-7.2,1.3,0.75,3.7,2.81,3.79,2.19,2.27,3.51,2.07,1.45,2.93,5.0,1.73,2.17,2.83,3.93,0.0,2.93,1.92,0
2025-11-24T16:58:33.769711,8,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,engaged,52.55,-0.0047,-0.0034,-0.0037,0.0004,-0.0023,-0.0039,23.08,-143.69,-334.52,559.62,3088.7,178.52,18.64,-8.4,1.4,0.85,3.6,2.96,3.66,2.04,2.25,3.46,1.97,1.38,3.03,5.0,1.64,1.6,3.4,3.96,0.0,2.81,1.95,0
2025-11-24T16:58:34.822419,9,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,engaged,51.42,-0.0041,-0.0029,-0.0038,0.0013,-0.0021,-0.004,14.33,-147.36,-338.89,561.9,3108.1,-179.68,17.41,-8.27,1.42,0.93,3.58,2.63,3.75,2.37,2.29,3.28,2.01,1.41,2.99,5.0,1.68,1.82,3.18,3.83,0.0,2.88,1.98,0
2025-11-24T16:58:35.823545,10,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,engaged,62.3,-0.0056,0.0008,-0.0038,0.0021,-0.0031,-0.0039,13.57,13.58,-262.21,563.79,3206.79,176.9,6.17,-7.77,1.55,1.05,3.45,2.42,3.59,2.58,2.17,3.63,2.15,1.5,2.85,5.0,1.79,1.44,3.56,4.05,0.0,2.87,2.02,0.16
2025-11-24T16:58:36.870341,11,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,partially_engaged,49.39,-0.0014,-0.0013,-0.0038,0.0003,-0.0018,-0.0037,8.03,-158.13,-211.92,588.68,3238.48,178.12,-5.4,-3.75,2.03,1.45,2.97,2.19,3.67,2.81,2.18,3.43,2.15,1.51,2.85,5.0,1.79,1.73,3.27,3.97,0.0,2.91,2.15,0.62
2025-11-24T16:58:37.937551,12,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,engaged,51.36,-0.0039,-0.0035,-0.0038,0.0007,-0.0017,-0.0038,17.72,-146.6,-228.43,608.78,3149.81,-177.23,5.26,-3.39,1.81,1.21,3.19,2.49,3.82,2.51,2.29,3.2,2.26,1.58,2.74,5.0,1.88,1.93,3.07,3.8,0.0,3.04,2.07,0.02
2025-11-24T16:58:38.982024,13,student_4_lec_2a96290c_513a5569,lec_2a96290c,cv101,1,0.95,engaged,50.08,-0.0026,-0.0017,-0.0037,0.0001,-0.001,-0.0038,16.89,-159.82,-274.56,515.48,3160.92,174.88,16.6,-2.84,1.68,1.23,3.32,2.48,3.55,2.52,2.09,3.11,1.98,1.39,3.02,5.0,1.65,1.11,3.89,4.37,0.0,2.76,2.08,0.04
