timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-11-24T18:19:06.321595,1,student_4_lec_2a96290c_700aeb29,lec_2a96290c,cv101,1,0.95,engaged,59.0,-0.0028,-0.0027,-0.0031,0.0007,0.0008,-0.0031,15.02,13.09,-15.42,792.73,3755.27,178.19,11.11,-0.88,1.9,1.34,3.1,2.12,3.12,2.88,1.93,3.18,1.78,1.25,3.22,5.0,1.48,2.48,2.52,3.41,0.0,2.45,2.11,0.76
2025-11-24T18:19:07.350729,2,student_4_lec_2a96290c_700aeb29,lec_2a96290c,cv101,1,0.95,partially_engaged,48.48,-0.0041,-0.0018,-0.0034,0.0004,-0.001,-0.0035,21.79,-158.67,18.54,780.83,3666.0,178.0,9.7,1.1,2.06,1.47,2.94,2.37,3.28,2.63,1.97,3.19,1.79,1.25,3.21,5.0,1.49,1.91,3.09,3.42,0.0,2.54,2.16,0.26
2025-11-24T18:19:08.401644,3,student_4_lec_2a96290c_700aeb29,lec_2a96290c,cv101,1,0.95,partially_engaged,48.37,-0.0039,-0.0013,-0.0034,-0.0002,-0.0022,-0.0035,-154.26,-153.56,34.13,754.51,3522.11,176.4,15.75,-0.04,1.94,1.39,3.06,2.31,3.28,2.69,1.92,3.44,1.86,1.3,3.14,5.0,1.55,1.88,3.12,3.72,0.0,2.57,2.13,0.38
2025-11-24T18:19:09.459460,4,student_4_lec_2a96290c_700aeb29,lec_2a96290c,cv101,1,0.95,partially_engaged,48.74,-0.0041,-0.0017,-0.0034,-0.0014,-0.0044,-0.0034,-143.75,-140.47,61.47,740.96,3510.67,176.05,17.68,-1.13,1.71,1.14,3.29,2.37,3.4,2.63,1.99,3.37,1.7,1.19,3.3,5.0,1.42,2.01,2.99,3.58,0.0,2.55,2.05,0.26
2025-11-24T18:19:10.515118,5,student_4_lec_2a96290c_700aeb29,lec_2a96290c,cv101,1,0.95,partially_engaged,49.99,-0.0025,-0.0021,-0.0034,-0.0004,-0.0073,-0.0034,-158.62,-131.67,73.24,736.14,3505.91,176.6,18.85,0.65,1.78,1.14,3.22,2.66,3.45,2.34,1.95,3.18,1.62,1.13,3.38,5.0,1.35,1.85,3.15,3.59,0.0,2.54,2.05,0
2025-11-24T18:19:11.570524,6,student_4_lec_2a96290c_700aeb29,lec_2a96290c,cv101,1,0.95,partially_engaged,49.97,-0.0034,-0.0004,-0.0033,0.0012,-0.0053,-0.0034,12.82,-148.07,96.31,750.66,3552.76,176.23,15.96,1.59,1.89,1.31,3.11,2.78,3.25,2.22,1.97,3.11,1.65,1.15,3.35,5.0,1.37,1.73,3.27,3.53,0.0,2.45,2.1,0
2025-11-24T18:19:12.623768,7,student_4_lec_2a96290c_700aeb29,lec_2a96290c,cv101,1,0.95,engaged,50.42,-0.0017,-0.0023,-0.0035,0.0014,-0.0066,-0.0034,2.08,-132.05,258.1,756.99,3541.26,177.65,-11.69,4.74,1.93,1.34,3.07,2.79,3.29,2.21,1.96,3.25,1.82,1.28,3.18,5.0,1.52,2.15,2.85,3.6,0.0,2.56,2.11,0
2025-11-24T18:19:13.624162,8,student_4_lec_2a96290c_700aeb29,lec_2a96290c,cv101,1,0.95,engaged,72.41,-0.0033,0.0009,-0.0034,0.0033,-0.0014,-0.0034,-0.19,3.82,207.25,762.66,3526.13,179.22,10.66,1.85,2.36,1.83,2.64,2.37,3.23,2.63,2.01,2.96,1.9,1.33,3.1,5.0,1.58,2.15,2.85,3.55,0.0,2.56,2.28,0.26
2025-11-24T18:19:14.678124,9,student_4_lec_2a96290c_700aeb29,lec_2a96290c,cv101,1,0.95,partially_engaged,46.86,-0.0039,-0.0034,-0.0033,0.0002,-0.0034,-0.0032,23.39,-133.54,200.79,784.46,3549.14,179.59,-8.61,3.87,2.23,1.59,2.77,1.9,3.49,3.1,2.03,3.01,1.73,1.21,3.27,5.0,1.44,2.13,2.87,3.49,0.0,2.61,2.2,1.2
2025-11-24T18:19:15.757803,10,student_4_lec_2a96290c_700aeb29,lec_2a96290c,cv101,1,0.95,engaged,50.44,-0.0009,-0.0013,-0.0035,0.0028,-0.0046,-0.0035,-11.66,-143.21,186.07,746.79,3433.59,178.2,14.3,-0.09,1.99,1.4,3.01,2.71,3.39,2.29,2.08,3.23,1.89,1.32,3.11,5.0,1.58,1.88,3.12,3.59,0.0,2.64,2.13,0
