timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-11-26T07:20:29.322483,1,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,57.46,-0.0059,-0.0029,-0.0056,0.0042,-0.004,-0.0053,4.16,-147.71,106.09,-114.98,2142.96,-153.58,-5.99,-4.67,3.02,2.19,1.98,3.01,5.0,1.99,3.51,3.61,2.85,1.99,2.15,5.0,2.37,2.33,2.67,3.98,0.0,3.92,2.4,0
2025-11-26T07:20:30.299112,2,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,61.07,-0.0035,-0.0026,-0.006,0.0021,-0.0062,-0.0056,4.7,-144.22,199.75,-93.72,2065.38,-155.08,-13.27,-5.1,3.66,2.71,1.34,3.85,5.0,1.15,3.54,4.31,2.94,2.06,2.06,5.0,2.45,1.43,3.57,4.09,0.0,3.97,2.57,0
2025-11-26T07:20:31.322553,3,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,62.25,-0.0062,-0.0064,-0.006,0.0037,-0.0048,-0.0056,6.49,-136.14,172.3,-66.26,2018.54,-152.99,-12.57,-4.88,3.71,2.65,1.29,4.09,5.0,0.91,3.66,3.95,3.01,2.11,1.99,5.0,2.51,1.25,3.75,3.94,0.0,4.0,2.55,0
2025-11-26T07:20:32.348876,4,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,60.47,-0.0019,-0.0074,-0.006,0.0024,-0.0041,-0.0056,-2.68,-136.39,157.88,-13.57,1979.56,-151.12,-11.57,-5.79,3.59,2.59,1.41,3.66,5.0,1.34,3.76,4.14,3.04,2.13,1.96,5.0,2.53,1.69,3.31,3.77,0.0,4.02,2.53,0
2025-11-26T07:20:33.357956,5,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,58.73,-0.0002,-0.0035,-0.0054,0.0019,-0.0033,-0.0059,-8.05,-148.54,108.03,47.27,-2249.7,-171.51,29.12,173.39,2.89,1.98,2.11,3.21,5.0,1.79,3.56,4.14,3.04,2.13,1.96,5.0,2.53,1.83,3.17,4.14,0.0,4.02,2.33,0
2025-11-26T07:20:34.378634,6,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,63.57,0.0001,-0.0102,-0.006,0.0042,-0.0041,-0.0059,161.76,-133.16,117.97,-142.88,1968.2,-163.62,-10.09,-3.81,1.96,1.18,3.04,4.09,5.0,0.91,3.27,5.0,3.47,2.43,1.53,5.0,2.89,0.49,4.51,5.0,0.0,4.24,2.06,0
2025-11-26T07:20:35.419191,7,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,59.46,-0.0034,-0.0011,-0.0058,0.0002,-0.0021,-0.0061,14.5,-165.03,-0.27,-93.5,2060.33,-158.0,18.62,-0.14,2.86,2.0,2.14,3.35,5.0,1.65,3.55,4.4,3.11,2.18,1.89,5.0,2.59,0.85,4.15,4.7,0.0,4.05,2.33,0
2025-11-26T07:20:36.447433,8,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,60.45,0.0062,-0.0037,-0.006,0.0052,-0.0022,-0.0056,135.59,-153.65,204.32,-99.72,2001.78,-153.13,-17.71,-6.86,3.29,2.31,1.71,3.64,5.0,1.36,3.67,4.02,3.03,2.12,1.97,5.0,2.53,1.11,3.89,4.3,0.0,4.01,2.44,0
2025-11-26T07:20:37.472899,9,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,63.68,-0.0038,-0.0072,-0.0058,0.0036,-0.0062,-0.0053,-0.41,-129.63,272.87,-140.6,2027.01,-159.76,-23.35,-5.48,3.2,2.19,1.8,4.49,5.0,0.51,3.32,4.85,2.76,1.93,2.24,5.0,2.3,0.23,4.77,4.96,0.0,3.88,2.4,0
2025-11-26T07:20:38.480847,10,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,61.84,-0.0047,-0.0084,-0.0058,-0.0028,-0.0011,-0.0053,-146.83,-146.47,262.28,-124.87,2007.06,-157.81,-23.32,-6.34,3.63,2.65,1.37,4.04,5.0,0.96,3.45,4.72,2.9,2.03,2.1,5.0,2.42,0.67,4.33,4.85,0.0,3.95,2.55,0
2025-11-26T07:20:39.506752,11,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,58.89,-0.0054,-0.0032,-0.0056,0.0018,-0.0062,-0.0052,12.56,-139.9,243.87,-121.64,2015.38,-155.29,-20.06,-5.36,3.52,2.69,1.48,3.36,5.0,1.64,3.5,4.32,2.89,2.02,2.11,5.0,2.41,1.11,3.89,4.73,0.0,3.95,2.56,0
2025-11-26T07:20:40.512017,12,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,70.35,-0.0074,0.0021,-0.0055,0.0017,-0.0066,-0.0051,17.38,15.4,224.07,-170.35,2104.36,-157.84,-20.22,-5.76,3.23,2.37,1.77,3.22,5.0,1.78,3.23,4.89,2.87,2.01,2.13,5.0,2.39,0.81,4.19,4.92,0.0,3.94,2.46,0
2025-11-26T07:20:41.534574,13,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,61.75,-0.0073,-0.0064,-0.0055,0.0028,-0.0054,-0.0051,12.06,-132.29,255.67,-133.62,2019.81,-157.37,-22.51,-5.85,3.54,2.56,1.46,4.07,5.0,0.93,3.44,4.29,2.76,1.93,2.24,5.0,2.3,1.08,3.92,4.78,0.0,3.88,2.52,0
2025-11-26T07:20:42.557921,14,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,58.94,-0.0028,-0.0031,-0.0057,0.0038,-0.0045,-0.0054,-4.8,-145.6,237.02,-114.42,2005.89,-155.95,-20.47,-6.35,3.68,2.69,1.32,3.33,5.0,1.67,3.58,4.46,2.99,2.09,2.01,5.0,2.49,1.33,3.67,4.62,0.0,4.0,2.56,0
2025-11-26T07:20:43.566613,15,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,partially_engaged,33.49,0.0164,-0.001,-0.0053,-0.0042,-0.0044,-0.0054,-16.92,-154.94,263.28,-70.69,2412.38,-161.7,11.92,-0.17,4.21,3.36,0.79,1.33,4.1,3.67,3.03,3.71,3.01,2.1,1.99,5.0,2.5,0.0,5.0,4.53,5.0,3.55,2.79,7.34
2025-11-26T07:20:44.592228,16,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,58.61,0.0022,-0.0005,-0.0058,0.0071,0.0005,-0.0055,143.64,-0.36,-495.6,8.18,-2512.94,-174.76,-30.57,-179.56,3.94,2.98,1.06,3.38,4.99,1.62,3.2,4.87,2.76,1.93,2.24,4.95,2.3,1.22,3.78,4.0,0.0,3.88,2.66,0
2025-11-26T07:20:45.636783,17,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,55.37,-0.009,-0.0089,-0.0053,-0.001,-0.0015,-0.005,-144.81,-141.99,283.75,51.81,2279.8,-165.98,-17.96,-2.44,3.2,2.35,1.8,2.7,5.0,2.3,3.05,5.0,2.46,1.72,2.54,5.0,2.05,1.38,3.62,4.44,0.0,3.73,2.45,0
2025-11-26T07:20:46.689849,18,student_4_lec_2a96290c_8064d417,lec_2a96290c,cv101,1,0.95,engaged,61.52,-0.0108,-0.0025,-0.0055,0.0024,-0.0075,-0.0051,18.91,-139.82,324.26,51.37,2103.92,-165.79,-17.04,-3.0,3.11,2.2,1.89,3.91,5.0,1.09,3.2,4.68,2.95,2.07,2.05,5.0,2.46,1.22,3.78,4.79,0.0,3.98,2.4,0
