timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-11-24T18:08:19.670413,1,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,engaged,58.77,-0.0035,-0.0064,-0.0033,0.0001,0.0024,-0.0028,21.91,10.87,-791.67,-702.54,-3277.49,-178.54,-59.27,-138.77,4.72,3.62,0.28,2.84,2.52,2.16,1.82,2.73,1.23,0.86,3.77,2.33,1.02,2.59,2.41,1.84,0.0,1.88,2.87,0
2025-11-24T18:08:20.582799,2,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,engaged,71.3,-0.0023,-0.0067,-0.0042,0.0027,0.0069,-0.0037,-3.52,-1.69,-741.93,-678.26,-3100.45,-176.3,-53.02,-140.3,5.0,4.09,0.0,2.81,2.66,2.19,1.96,2.58,1.48,1.04,3.52,3.66,1.23,3.24,1.76,2.37,0.0,2.07,3.03,0
2025-11-24T18:08:21.637257,3,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,engaged,74.0,-0.0018,-0.0064,-0.0042,0.0015,0.0061,-0.0038,0.85,-0.72,683.89,615.26,2776.02,-174.09,-17.7,36.35,4.98,3.84,0.02,3.2,2.74,1.8,1.98,2.84,1.89,1.33,3.11,5.0,1.58,2.68,2.32,3.04,0.0,2.31,2.95,0
2025-11-24T18:08:22.690724,4,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,48.95,-0.0019,-0.0064,-0.0042,-0.001,-0.0029,-0.0038,-160.03,-132.75,682.01,623.64,2776.05,-174.15,-18.71,35.45,5.0,4.13,0.0,3.01,2.76,1.99,2.0,2.82,1.78,1.25,3.22,5.0,1.49,2.6,2.4,3.06,0.0,2.27,3.04,0
2025-11-24T18:08:23.750112,5,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,48.34,0.0025,-0.0035,-0.0042,-0.0051,-0.004,-0.0038,11.68,-136.74,685.32,628.3,2790.43,-172.88,-20.13,35.95,5.0,4.15,0.0,2.92,2.69,2.08,2.01,2.84,1.76,1.23,3.24,4.79,1.47,2.64,2.36,2.94,0.0,2.23,3.05,0
2025-11-24T18:08:24.803094,6,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,48.46,0.0004,-0.0042,-0.0044,-0.0031,-0.0012,-0.0039,16.27,-149.39,678.92,626.26,2754.49,-172.69,-17.98,35.59,5.0,4.26,0.0,2.91,2.72,2.09,2.04,2.88,1.83,1.28,3.17,4.83,1.53,2.69,2.31,2.97,0.0,2.28,3.09,0
2025-11-24T18:08:25.865547,7,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,48.08,0.0015,-0.0034,-0.0043,0.0001,0.0049,-0.0039,169.6,-6.54,682.76,632.65,2777.48,-172.82,-18.41,36.45,5.0,4.23,0.0,2.91,2.61,2.09,1.98,2.94,1.78,1.25,3.22,4.86,1.49,2.64,2.36,3.01,0.0,2.19,3.08,0
2025-11-24T18:08:26.918245,8,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,49.99,0.0018,-0.0034,-0.0044,-0.0065,-0.0039,-0.0039,18.2,-138.8,691.84,636.7,2740.47,-171.84,-18.08,36.21,5.0,4.07,0.0,3.24,2.71,1.76,2.08,2.76,1.87,1.31,3.13,4.74,1.56,2.74,2.26,2.87,0.0,2.29,3.02,0
2025-11-24T18:08:28.008019,9,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,49.62,0.0017,-0.0045,-0.0043,-0.0084,-0.0042,-0.0039,21.67,-132.95,698.8,632.19,2735.07,-172.21,-18.07,34.64,5.0,4.08,0.0,3.12,2.72,1.88,2.05,2.93,1.94,1.36,3.06,4.98,1.62,2.59,2.41,3.04,0.0,2.33,3.03,0
2025-11-24T18:08:29.035359,10,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,48.21,0.0006,-0.0034,-0.0044,-0.0024,-0.0056,-0.004,11.78,-134.13,675.81,634.59,2732.08,-170.64,-17.22,34.67,5.0,4.35,0.0,2.93,2.56,2.07,2.0,2.94,1.9,1.33,3.1,4.74,1.59,3.06,1.94,2.93,0.0,2.23,3.12,0
2025-11-24T18:08:30.028451,11,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,48.48,0.0001,-0.0043,-0.0043,-0.0054,-0.0079,-0.0039,26.45,-125.83,668.1,643.31,2780.22,-171.92,-16.22,35.08,5.0,4.18,0.0,2.97,2.61,2.03,1.94,3.13,1.84,1.29,3.16,4.54,1.54,2.59,2.41,2.97,0.0,2.23,3.06,0
2025-11-24T18:08:31.084672,12,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,engaged,60.33,0.0004,-0.0058,-0.0042,-0.0003,0.0005,-0.0037,-0.01,23.48,-713.79,-675.32,-2948.11,-170.29,-56.1,-148.03,5.0,4.32,0.0,2.9,2.77,2.1,2.03,2.87,1.72,1.2,3.28,4.67,1.43,2.43,2.57,2.88,0.0,2.25,3.11,0
2025-11-24T18:08:32.131142,13,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,49.44,-0.0006,-0.0048,-0.0043,-0.0021,0.0009,-0.0039,-161.66,17.24,661.27,640.26,2776.71,-173.11,-19.21,34.36,5.0,4.15,0.0,3.1,2.79,1.9,2.03,2.97,1.8,1.26,3.2,4.74,1.5,2.73,2.27,2.96,0.0,2.29,3.05,0
2025-11-24T18:08:33.190600,14,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,49.83,-0.0016,-0.006,-0.0043,-0.0019,-0.0001,-0.0039,-157.06,-152.34,-701.14,-669.19,-2936.78,-170.62,-53.04,-148.1,5.0,4.16,0.0,3.24,2.68,1.76,2.04,3.16,1.84,1.29,3.16,4.52,1.53,2.52,2.48,2.94,0.0,2.26,3.05,0
2025-11-24T18:08:34.192240,15,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,49.98,-0.0013,-0.0061,-0.0042,-0.0021,-0.0002,-0.0038,-157.08,-150.59,665.31,643.37,2768.04,-173.02,-19.61,34.59,5.0,4.07,0.0,3.24,2.73,1.76,2.03,2.93,1.83,1.28,3.17,4.74,1.52,2.71,2.29,2.92,0.0,2.28,3.02,0
2025-11-24T18:08:35.237156,16,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,49.27,-0.0023,-0.007,-0.0043,-0.0011,-0.001,-0.0039,-158.27,-143.57,663.74,638.35,2758.69,-172.78,-18.8,34.71,5.0,3.95,0.0,3.02,2.77,1.98,2.06,2.78,1.88,1.32,3.12,4.79,1.57,2.7,2.3,2.89,0.0,2.33,2.98,0
2025-11-24T18:08:36.301321,17,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,engaged,50.6,-0.0014,-0.0059,-0.0042,-0.0012,-0.0046,-0.0038,-161.73,-127.47,680.28,651.55,2762.47,-171.76,-20.45,33.59,5.0,4.21,0.0,3.34,2.79,1.66,2.13,2.56,1.88,1.31,3.12,4.89,1.56,2.83,2.17,2.81,0.0,2.33,3.07,0
2025-11-24T18:08:37.362371,18,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,engaged,51.01,-0.0024,-0.0068,-0.0042,-0.0029,-0.0049,-0.0037,-145.88,-124.13,-723.03,-673.51,-2914.19,-169.44,-56.71,-149.35,5.0,3.92,0.0,3.44,2.75,1.56,2.12,2.75,1.87,1.31,3.13,4.79,1.56,2.73,2.27,2.84,0.0,2.31,2.97,0
2025-11-24T18:08:38.408250,19,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,47.27,-0.0025,-0.0068,-0.0041,-0.0071,0.0019,-0.0037,-133.25,15.84,663.23,689.33,2960.39,-175.19,-15.06,33.2,4.85,3.81,0.15,2.71,2.51,2.29,1.92,2.82,1.88,1.31,3.12,5.0,1.56,2.47,2.53,3.13,0.0,2.19,2.94,0
2025-11-24T18:08:39.461126,20,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,47.56,-0.0028,-0.0038,-0.0043,-0.0029,-0.0031,-0.0039,-144.75,-140.04,545.55,568.35,3032.41,178.34,2.73,31.67,4.31,3.46,0.69,2.56,2.68,2.44,1.58,3.17,2.08,1.46,2.92,5.0,1.74,2.22,2.78,3.84,0.0,2.38,2.82,0
2025-11-24T18:08:40.519476,21,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,47.74,-0.0042,-0.0053,-0.0043,-0.0059,0.0009,-0.004,-129.57,19.39,597.58,621.79,3030.8,-176.37,-11.65,29.25,4.65,3.72,0.35,2.61,2.73,2.39,1.9,2.83,2.04,1.42,2.96,5.0,1.7,2.65,2.35,3.43,0.0,2.38,2.91,0
2025-11-24T18:08:41.587128,22,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,46.05,-0.0047,-0.0057,-0.0039,-0.0057,-0.0048,-0.0036,-125.78,-125.38,594.19,648.79,3127.4,-178.84,-12.15,31.99,4.58,3.67,0.42,2.33,2.7,2.67,1.84,2.79,1.8,1.26,3.2,5.0,1.5,2.71,2.29,3.32,0.0,2.25,2.89,0.34
2025-11-24T18:08:42.645328,23,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,45.73,-0.002,-0.0038,-0.0038,-0.0031,-0.0029,-0.0035,-145.38,-137.74,560.15,657.79,3193.24,-178.9,-13.04,33.73,4.61,3.73,0.39,2.32,2.62,2.68,1.8,2.33,1.77,1.24,3.23,5.0,1.47,2.37,2.63,3.14,0.0,2.2,2.91,0.36
2025-11-24T18:08:43.711930,24,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,engaged,69.01,-0.002,-0.001,-0.0037,0.0003,0.0005,-0.0035,11.63,3.55,466.82,651.73,3303.89,-179.42,-3.16,29.03,4.35,3.61,0.65,2.17,2.5,2.83,1.71,2.87,1.89,1.32,3.11,5.0,1.57,2.1,2.9,3.48,0.0,2.19,2.87,0.66
2025-11-24T18:08:44.755487,25,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,engaged,71.13,0.0,-0.0036,-0.0039,-0.0011,0.0028,-0.0036,8.5,2.58,601.34,638.85,3222.0,179.07,-16.41,32.93,4.31,3.37,0.69,2.62,2.68,2.38,1.83,2.95,1.68,1.17,3.32,5.0,1.4,2.1,2.9,3.3,0.0,2.18,2.79,0
2025-11-24T18:08:45.811077,26,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,46.71,-0.0016,-0.0031,-0.004,-0.0,-0.0014,-0.0037,-168.8,-151.25,587.23,632.56,3155.76,-177.82,-12.04,30.38,4.68,3.82,0.32,2.43,2.79,2.57,1.88,2.81,1.82,1.27,3.18,5.0,1.52,2.36,2.64,3.3,0.0,2.31,2.94,0.14
2025-11-24T18:08:46.872361,27,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,48.48,-0.0034,-0.0043,-0.0042,-0.003,-0.0022,-0.0039,-141.38,-142.43,553.01,619.69,3076.86,-177.08,-11.9,28.46,4.55,3.65,0.45,2.68,2.9,2.32,1.94,2.64,2.01,1.41,2.99,5.0,1.67,2.36,2.64,3.34,0.0,2.46,2.88,0
2025-11-24T18:08:47.926628,28,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,partially_engaged,49.81,-0.0003,-0.0038,-0.0041,-0.0007,0.0019,-0.0038,-172.09,8.44,570.24,620.19,3078.22,-179.14,-11.92,30.18,4.23,3.29,0.77,2.98,2.87,2.02,1.9,2.88,2.01,1.41,2.99,5.0,1.68,2.71,2.29,3.42,0.0,2.44,2.76,0
2025-11-24T18:08:48.990545,29,student_4_lec_2a96290c_96318c89,lec_2a96290c,cv101,1,0.95,engaged,73.39,0.0001,-0.0036,-0.004,-0.0001,0.0015,-0.0037,0.0,9.85,566.02,619.07,3059.29,-178.24,-12.7,30.41,4.35,3.4,0.65,2.9,2.9,2.1,1.86,3.16,1.95,1.37,3.05,5.0,1.63,2.18,2.82,3.48,0.0,2.42,2.8,0
