timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-11-24T17:12:26.630346,1,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,56.83,-0.0019,-0.0056,-0.0048,-0.0004,-0.0084,-0.0049,-166.96,-125.26,-68.02,551.0,2417.23,176.31,13.46,-5.44,2.84,2.12,2.16,3.13,4.71,1.87,2.94,4.31,2.62,1.84,2.38,5.0,2.18,1.07,3.93,5.0,0.0,3.67,2.37,0
2025-11-24T17:12:27.669990,2,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,highly_engaged,82.88,-0.0024,-0.0027,-0.0052,0.0045,0.0006,-0.0055,-7.14,10.54,-146.32,553.24,2370.68,178.4,21.21,-1.8,2.61,1.81,2.39,3.41,4.96,1.59,2.89,4.29,2.67,1.87,2.33,5.0,2.23,0.24,4.76,5.0,0.0,3.81,2.27,0
2025-11-24T17:12:28.732141,3,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,59.97,-0.0045,-0.005,-0.0051,0.0044,-0.0051,-0.0054,1.06,-136.36,-146.3,528.54,2319.71,178.12,19.57,-2.9,2.51,1.75,2.49,3.64,4.88,1.36,2.88,4.27,2.83,1.98,2.17,5.0,2.36,0.08,4.92,5.0,0.0,3.85,2.25,0
2025-11-24T17:12:29.780769,4,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,highly_engaged,82.76,-0.0052,-0.0038,-0.0051,0.0056,0.0007,-0.0054,-0.44,14.6,-146.05,543.05,2312.36,-178.98,19.87,-1.36,2.72,1.93,2.28,3.31,4.97,1.69,2.99,4.34,2.85,1.99,2.15,5.0,2.37,0.29,4.71,5.0,0.0,3.91,2.31,0
2025-11-24T17:12:30.839882,5,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,58.06,-0.0035,-0.0044,-0.005,0.0009,-0.0046,-0.0053,12.51,-139.0,-157.73,569.89,2375.09,177.65,20.55,-3.66,2.85,2.09,2.15,3.35,4.72,1.65,2.97,4.41,2.76,1.93,2.24,5.0,2.3,0.23,4.77,5.0,0.0,3.74,2.36,0
2025-11-24T17:12:32.004283,6,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,57.88,-0.0032,-0.0032,-0.0051,0.0001,-0.0044,-0.0054,15.66,-144.73,-164.07,565.62,2363.17,177.93,21.06,-5.15,2.82,2.03,2.18,3.25,4.85,1.75,2.99,4.45,2.7,1.89,2.3,5.0,2.25,0.41,4.59,5.0,0.0,3.77,2.34,0
2025-11-24T17:12:33.013799,7,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,58.14,-0.0065,-0.0031,-0.0052,0.0007,-0.0055,-0.0055,22.45,-142.13,-165.66,563.28,2341.92,178.27,20.89,-5.31,2.64,1.88,2.36,3.22,4.92,1.78,3.01,4.33,2.78,1.95,2.22,5.0,2.32,0.41,4.59,5.0,0.0,3.85,2.29,0
2025-11-24T17:12:34.017800,8,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,56.83,-0.0027,-0.0038,-0.0052,-0.001,-0.0046,-0.0056,-161.35,-142.22,-164.77,600.12,2373.25,179.88,21.22,-5.08,2.65,1.86,2.35,2.98,4.87,2.02,2.97,4.51,2.7,1.89,2.3,5.0,2.25,0.63,4.37,4.9,0.0,3.79,2.29,0
2025-11-24T17:12:35.063500,9,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,58.54,-0.0047,-0.0036,-0.005,0.0016,-0.0057,-0.0053,13.16,-138.43,-168.72,580.55,2358.47,178.24,21.22,-5.36,2.58,1.8,2.42,3.33,4.88,1.67,2.99,4.43,2.79,1.96,2.21,5.0,2.33,0.31,4.69,5.0,0.0,3.83,2.27,0
2025-11-24T17:12:36.124028,10,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,58.18,-0.0063,-0.0029,-0.0052,-0.0007,-0.0054,-0.0056,-151.19,-143.53,-170.73,568.97,2315.44,177.95,20.79,-6.03,2.56,1.76,2.44,3.17,4.98,1.83,3.0,4.6,2.81,1.97,2.19,5.0,2.34,0.54,4.46,5.0,0.0,3.9,2.25,0
2025-11-24T17:12:37.174509,11,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,58.02,-0.0073,-0.0036,-0.0051,-0.0005,-0.0067,-0.0055,-149.94,-137.31,-172.07,577.54,2311.03,179.6,22.24,-5.34,2.5,1.7,2.5,3.15,5.0,1.85,3.05,4.38,2.73,1.91,2.27,5.0,2.27,0.57,4.43,5.0,0.0,3.87,2.23,0
2025-11-24T17:12:38.173651,12,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,58.5,-0.0066,-0.0033,-0.0051,0.001,-0.0055,-0.0055,21.03,-140.93,-167.0,586.78,2345.01,179.9,20.85,-5.05,2.62,1.77,2.38,3.3,4.95,1.7,3.03,4.23,2.73,1.91,2.27,5.0,2.27,0.58,4.42,5.0,0.0,3.84,2.26,0
2025-11-24T17:12:39.218442,13,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,60.22,-0.0048,-0.0042,-0.0051,0.0021,-0.0047,-0.0055,11.16,-139.94,-176.93,565.83,2303.05,179.16,23.06,-5.68,2.44,1.55,2.56,3.64,5.0,1.36,3.0,4.47,2.75,1.93,2.25,5.0,2.29,0.39,4.61,5.0,0.0,3.88,2.18,0
2025-11-24T17:12:40.277325,14,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,59.62,-0.0065,-0.0025,-0.0051,0.001,-0.0055,-0.0055,20.75,-144.39,-176.54,566.39,2304.33,179.73,22.85,-5.61,2.33,1.49,2.67,3.5,5.0,1.5,3.04,4.27,2.74,1.92,2.26,5.0,2.29,0.47,4.53,5.0,0.0,3.87,2.16,0
2025-11-24T17:12:41.331578,15,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,58.61,-0.0043,-0.0036,-0.0052,0.0004,-0.0058,-0.0056,17.64,-139.43,-168.39,607.3,2342.09,-177.5,21.51,-4.02,2.89,2.0,2.11,3.41,4.85,1.59,3.06,4.34,2.71,1.9,2.29,5.0,2.26,0.31,4.69,4.68,0.0,3.78,2.33,0
2025-11-24T17:12:42.389787,16,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,60.33,-0.0029,-0.0018,-0.0054,0.0046,-0.0034,-0.0054,-5.86,-154.61,-29.62,582.69,2377.38,179.87,1.9,-2.46,2.39,1.7,2.61,3.59,4.98,1.41,3.07,4.36,2.99,2.09,2.01,5.0,2.49,0.27,4.73,5.0,0.0,3.99,2.23,0
2025-11-24T17:12:43.392010,17,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,61.99,-0.0033,-0.002,-0.0054,0.0039,-0.0028,-0.0053,-2.36,-155.77,0.58,589.29,2380.03,179.96,-1.28,-1.94,2.45,1.74,2.55,4.0,4.98,1.0,3.03,4.38,2.94,2.05,2.06,5.0,2.45,0.23,4.77,4.92,0.0,3.96,2.25,0
2025-11-24T17:12:44.439558,18,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,60.35,-0.0037,-0.0024,-0.0054,0.0022,-0.003,-0.0055,6.44,-153.59,-55.49,604.12,2399.78,179.24,7.2,-3.12,2.32,1.63,2.68,3.68,4.86,1.32,2.93,4.38,2.95,2.07,2.05,5.0,2.46,0.56,4.44,4.97,0.0,3.91,2.21,0
2025-11-24T17:12:45.440958,19,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,58.8,-0.0065,-0.0012,-0.0052,0.0001,-0.0031,-0.0055,24.78,-158.83,-129.44,621.26,2441.98,178.64,15.52,-4.3,2.71,1.89,2.29,3.49,4.72,1.51,2.92,4.07,2.8,1.96,2.2,5.0,2.33,0.42,4.58,4.94,0.0,3.76,2.3,0
2025-11-24T17:12:46.453239,20,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,60.72,-0.0058,-0.0021,-0.0052,-0.0014,-0.002,-0.0054,-148.86,-159.08,-116.04,586.67,2380.71,179.04,14.08,-2.82,2.27,1.49,2.73,3.75,4.95,1.25,2.93,4.19,2.83,1.98,2.17,5.0,2.36,0.35,4.65,5.0,0.0,3.89,2.16,0
2025-11-24T17:12:47.488720,21,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,59.8,-0.0065,-0.0028,-0.0052,-0.0003,-0.0055,-0.0054,-153.04,-143.25,-118.41,579.85,2353.89,178.59,15.55,-4.1,2.51,1.77,2.49,3.51,4.97,1.49,2.98,4.21,2.92,2.04,2.08,5.0,2.43,0.11,4.89,5.0,0.0,3.94,2.26,0
2025-11-24T17:12:48.537109,22,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,60.82,-0.0005,-0.0077,-0.0051,0.0016,-0.0045,-0.0051,-5.84,-131.08,-37.21,566.29,2362.31,176.35,-0.2,0.14,1.89,1.1,3.11,3.69,5.0,1.31,2.85,4.39,2.88,2.02,2.12,5.0,2.4,0.36,4.64,5.0,0.0,3.94,2.03,0
2025-11-24T17:12:49.626541,23,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,59.58,-0.0033,-0.0027,-0.0054,0.0038,-0.0034,-0.0054,-1.57,-150.87,-42.99,631.34,2327.19,176.98,-0.67,-1.45,2.94,2.2,2.06,3.43,5.0,1.57,3.05,5.0,3.02,2.11,1.98,5.0,2.52,0.0,5.0,5.0,0.0,4.01,2.4,0
2025-11-24T17:12:50.668547,24,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,62.45,-0.0041,-0.001,-0.0053,0.0029,-0.0041,-0.0053,4.26,-155.74,67.07,-669.97,-2571.1,-155.64,-0.01,179.08,3.19,2.27,1.81,4.13,5.0,0.87,3.25,4.48,2.95,2.07,2.05,5.0,2.46,0.87,4.13,4.52,0.0,3.98,2.42,0
2025-11-24T17:12:51.720472,25,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,65.46,-0.0078,-0.0036,-0.006,0.0014,-0.0068,-0.006,19.62,-140.12,128.37,-574.02,-2320.99,-159.69,5.83,178.12,3.19,2.09,1.81,4.71,5.0,0.29,3.61,5.0,3.2,2.24,1.8,5.0,2.67,0.18,4.82,4.56,0.0,4.1,2.36,0
2025-11-24T17:12:52.784780,26,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,62.56,-0.0136,-0.0035,-0.0058,-0.0002,-0.005,-0.0059,-145.53,-144.42,-136.3,573.46,2132.24,-177.45,6.69,-4.49,3.16,2.17,1.84,4.06,5.0,0.94,3.45,5.0,3.17,2.22,1.83,5.0,2.65,0.0,5.0,5.0,0.0,4.08,2.39,0
2025-11-24T17:12:53.846210,27,student_4_lec_2a96290c_a01f0012,lec_2a96290c,cv101,1,0.95,engaged,63.41,-0.0006,-0.0032,-0.0059,0.0051,-0.0047,-0.0057,-18.06,-146.04,8.9,517.04,2158.09,177.06,-15.3,-0.18,3.14,2.26,1.86,4.29,5.0,0.71,3.2,5.0,3.1,2.17,1.9,5.0,2.58,0.0,5.0,5.0,0.0,4.05,2.42,0
