timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-11-24T17:49:31.175754,1,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,54.15,-0.0052,-0.0011,-0.005,0.0,-0.0051,-0.0049,22.82,-150.57,19.68,454.59,2499.66,177.73,-3.16,2.2,3.66,2.9,1.34,2.55,4.77,2.45,2.81,4.24,2.58,1.8,2.42,5.0,2.15,0.32,4.68,5.0,0.0,3.67,2.63,0
2025-11-24T17:49:32.214184,2,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,59.84,-0.0031,-0.0035,-0.0055,0.0045,-0.0042,-0.0056,-4.68,-145.37,-8.97,415.26,2375.46,178.29,7.23,0.09,2.7,2.01,2.3,3.58,4.93,1.42,2.89,4.23,2.88,2.02,2.12,5.0,2.4,0.19,4.81,5.0,0.0,3.9,2.34,0
2025-11-24T17:49:33.257162,3,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,60.95,-0.0025,-0.0019,-0.0057,0.0036,-0.0029,-0.0057,-4.48,-157.4,35.7,426.8,2349.75,179.41,2.58,-0.04,3.01,2.26,1.99,3.83,4.93,1.17,2.89,4.17,2.94,2.06,2.06,5.0,2.45,0.24,4.76,5.0,0.0,3.93,2.42,0
2025-11-24T17:49:34.327399,4,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,57.39,-0.0034,-0.0026,-0.0052,0.0011,-0.0034,-0.0054,10.92,-150.46,-42.01,448.86,2323.83,175.72,18.28,-0.71,3.35,2.69,1.65,3.18,4.61,1.82,2.8,4.51,3.07,2.15,1.93,5.0,2.56,0.06,4.94,5.0,0.0,3.84,2.56,0
2025-11-24T17:49:35.391695,5,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,61.21,-0.0007,-0.0006,-0.0053,0.0051,-0.0024,-0.0054,-17.69,-164.99,-29.7,452.45,2346.58,176.73,14.96,-1.34,4.11,3.44,0.89,4.13,4.77,0.87,2.9,4.35,2.82,1.97,2.18,5.0,2.35,0.02,4.98,5.0,0.0,3.79,2.81,0
2025-11-24T17:49:36.447007,6,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,highly_engaged,85.1,-0.0012,0.0002,-0.0055,0.0042,-0.0012,-0.0054,-12.73,5.44,40.92,459.9,2344.22,177.22,-3.3,-0.54,3.95,3.29,1.05,3.98,4.87,1.02,2.96,4.34,2.94,2.06,2.06,5.0,2.45,0.4,4.6,5.0,0.0,3.91,2.76,0
2025-11-24T17:49:37.504446,7,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,60.83,-0.0049,-0.0013,-0.0055,0.0021,-0.0019,-0.0055,10.22,-163.73,4.59,459.36,2323.48,178.85,6.34,-1.94,3.81,3.07,1.19,3.85,4.92,1.15,3.01,4.23,2.99,2.09,2.01,5.0,2.49,0.26,4.74,5.0,0.0,3.96,2.69,0
2025-11-24T17:49:38.557863,8,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,57.37,-0.0046,-0.0011,-0.0056,0.0035,-0.0018,-0.0056,3.86,-165.15,-0.41,493.71,2400.63,175.86,5.97,-1.6,3.89,3.16,1.11,3.16,4.7,1.84,2.83,4.36,3.06,2.14,1.94,5.0,2.55,0.56,4.44,5.0,0.0,3.88,2.72,0
2025-11-24T17:49:39.607787,9,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,59.89,-0.0056,-0.0022,-0.0054,0.003,-0.0046,-0.0054,8.64,-148.92,5.3,456.73,2352.57,178.2,3.74,-1.66,3.23,2.48,1.77,3.53,5.0,1.47,2.95,4.27,3.01,2.11,1.99,5.0,2.51,0.3,4.7,5.0,0.0,4.0,2.49,0
2025-11-24T17:49:40.660832,10,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,60.05,-0.0064,-0.0026,-0.0055,-0.0015,0.0006,-0.0055,-147.44,9.79,-8.45,457.53,2358.06,178.36,4.27,-1.5,3.3,2.62,1.7,3.63,4.92,1.37,2.86,4.12,3.0,2.1,2.0,5.0,2.5,0.28,4.72,5.0,0.0,3.96,2.54,0
2025-11-24T17:49:41.721565,11,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,59.52,-0.0065,-0.0037,-0.0052,-0.0036,-0.0061,-0.0053,-137.33,-138.22,-62.53,459.56,2335.42,178.97,14.36,-3.56,2.75,2.09,2.25,3.47,5.0,1.53,2.91,4.25,2.87,2.01,2.13,5.0,2.39,0.36,4.64,5.0,0.0,3.94,2.36,0
2025-11-24T17:49:42.784759,12,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,59.71,-0.0076,-0.0017,-0.0052,-0.0028,-0.013,-0.0054,-138.52,-137.26,-93.22,456.93,2314.08,177.94,14.87,-5.02,2.51,1.89,2.49,3.57,4.87,1.43,2.98,4.04,2.9,2.03,2.1,5.0,2.41,0.0,5.0,5.0,0.0,3.88,2.3,0
2025-11-24T17:49:43.829027,13,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,60.0,-0.0044,-0.0026,-0.0053,0.0017,-0.0041,-0.0055,11.53,-148.59,-101.19,453.68,2320.63,179.84,15.52,-4.21,2.27,1.63,2.73,3.57,5.0,1.43,2.99,3.97,2.81,1.97,2.19,5.0,2.34,0.06,4.94,5.0,0.0,3.91,2.21,0
2025-11-24T17:49:44.888295,14,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,59.47,-0.0048,-0.0019,-0.0054,-0.0003,-0.001,-0.0056,-157.76,-165.22,-95.0,458.91,2346.57,-179.68,12.64,-2.53,2.6,1.95,2.4,3.45,4.98,1.55,2.95,3.93,2.9,2.03,2.1,5.0,2.42,0.17,4.83,5.0,0.0,3.94,2.32,0
2025-11-24T17:49:45.939805,15,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,59.53,-0.0027,-0.0029,-0.0053,-0.001,-0.0072,-0.0056,-161.55,-139.39,-85.91,471.81,2323.82,178.1,13.3,-4.43,2.69,1.98,2.31,3.58,4.81,1.42,2.9,4.51,2.88,2.02,2.12,5.0,2.4,0.15,4.85,5.0,0.0,3.84,2.33,0
2025-11-24T17:49:46.996970,16,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,60.2,-0.0035,-0.0026,-0.0054,0.0006,-0.0037,-0.0055,13.61,-149.99,-61.48,477.16,2366.48,-179.19,7.92,-2.14,2.38,1.72,2.62,3.61,5.0,1.39,2.92,3.97,2.85,2.0,2.15,5.0,2.38,0.15,4.85,5.0,0.0,3.92,2.24,0
2025-11-24T17:49:48.054203,17,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,60.9,-0.0021,-0.0022,-0.0055,0.0033,-0.0045,-0.0056,-4.83,-149.71,-60.02,458.28,2348.87,179.68,8.94,-2.9,2.67,1.99,2.33,3.77,4.94,1.23,2.91,4.09,2.99,2.1,2.01,5.0,2.5,0.29,4.71,5.0,0.0,3.97,2.33,0
2025-11-24T17:49:49.120774,18,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,59.01,-0.0041,-0.0027,-0.0057,0.0038,-0.005,-0.0057,1.18,-146.73,-19.6,470.56,2385.31,179.38,2.1,-1.13,3.09,2.37,1.91,3.31,5.0,1.69,2.9,4.06,3.03,2.12,1.97,5.0,2.52,0.45,4.55,5.0,0.0,4.01,2.46,0
2025-11-24T17:49:50.166052,19,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,59.54,-0.0021,-0.0017,-0.0057,0.0036,-0.0037,-0.0054,-6.77,-154.56,121.06,486.03,2364.59,174.1,-16.09,3.64,3.09,2.36,1.91,3.55,4.88,1.45,2.81,4.45,2.92,2.04,2.08,5.0,2.43,0.59,4.41,5.0,0.0,3.9,2.45,0
2025-11-24T17:49:51.165158,20,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,59.13,-0.0056,-0.0023,-0.0056,0.0022,-0.0037,-0.0054,11.57,-151.96,109.36,464.81,2350.67,175.37,-12.8,1.83,2.95,2.27,2.05,3.34,5.0,1.66,2.91,4.51,3.0,2.1,2.0,5.0,2.5,0.45,4.55,5.0,0.0,4.0,2.42,0
2025-11-24T17:49:52.215204,21,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,61.24,-0.0024,-0.0025,-0.0058,0.0043,-0.004,-0.0055,-7.57,-150.28,114.58,461.58,2348.48,176.26,-13.2,2.44,3.12,2.42,1.88,3.88,4.95,1.12,2.9,4.32,2.98,2.09,2.02,5.0,2.48,0.58,4.42,5.0,0.0,3.96,2.47,0
2025-11-24T17:49:53.292211,22,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,60.6,-0.0045,-0.002,-0.0056,0.0019,-0.0047,-0.0055,10.03,-149.8,93.91,468.8,2336.55,176.89,-8.58,0.55,3.26,2.51,1.74,3.72,4.91,1.28,2.91,4.48,3.08,2.16,1.92,5.0,2.57,0.41,4.59,5.0,0.0,4.0,2.5,0
2025-11-24T17:49:54.354947,23,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,59.18,-0.0041,-0.0016,-0.0057,0.0009,-0.0035,-0.0056,13.23,-156.28,78.77,495.56,2368.54,175.7,-5.35,0.79,3.2,2.5,1.8,3.48,4.85,1.52,2.88,4.53,2.96,2.07,2.04,5.0,2.46,0.48,4.52,5.0,0.0,3.9,2.5,0
2025-11-24T17:49:55.404353,24,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,58.73,-0.0063,-0.0025,-0.0054,0.0034,-0.0043,-0.0054,8.53,-148.45,9.13,464.5,2354.97,177.81,6.02,-2.17,2.89,2.2,2.11,3.23,5.0,1.77,2.93,4.45,3.03,2.12,1.97,5.0,2.52,0.42,4.58,5.0,0.0,4.01,2.4,0
2025-11-24T17:49:56.415886,25,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,58.8,-0.0049,-0.002,-0.0052,-0.0008,-0.0157,-0.0053,-153.99,-133.63,-73.29,445.62,2291.51,-179.7,14.91,-3.84,2.6,1.91,2.4,3.28,5.0,1.72,2.97,4.23,2.89,2.02,2.11,5.0,2.41,0.44,4.56,5.0,0.0,3.95,2.3,0
2025-11-24T17:49:57.454648,26,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,60.31,-0.0066,-0.0044,-0.0053,-0.0019,-0.0154,-0.0055,-144.9,-124.96,-83.64,448.46,2285.15,179.87,14.75,-4.48,2.48,1.78,2.52,3.65,5.0,1.35,3.0,4.09,2.82,1.98,2.18,5.0,2.35,0.0,5.0,5.0,0.0,3.91,2.26,0
2025-11-24T17:49:58.453821,27,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,60.02,-0.0056,-0.0021,-0.0053,-0.004,-0.0073,-0.0055,-138.83,-143.02,-87.02,468.25,2286.12,177.5,16.22,-4.6,2.56,1.82,2.44,3.6,4.93,1.4,2.92,4.53,2.89,2.02,2.11,5.0,2.41,0.16,4.84,5.0,0.0,3.91,2.27,0
2025-11-24T17:49:59.503815,28,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,59.01,-0.0062,-0.0032,-0.0053,0.0013,-0.0082,-0.0054,18.15,-136.27,-95.2,463.07,2328.64,-179.98,13.18,-3.23,2.49,1.83,2.51,3.32,5.0,1.68,3.04,4.04,2.9,2.03,2.1,5.0,2.42,0.24,4.76,5.0,0.0,3.95,2.28,0
2025-11-24T17:50:00.549826,29,student_4_lec_2a96290c_b02e0774,lec_2a96290c,cv101,1,0.95,engaged,59.65,-0.0034,-0.0033,-0.0054,0.0015,-0.0034,-0.0056,8.57,-148.85,-93.06,462.37,2330.31,-179.52,12.48,-2.15,2.55,1.84,2.45,3.46,5.0,1.54,2.99,4.07,2.92,2.04,2.08,5.0,2.43,0.32,4.68,5.0,0.0,3.96,2.28,0
