timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-11-24T16:17:42.642917,1,student_4_lec_2a96290c_b067bd04,lec_2a96290c,cv101,1,0.95,partially_engaged,42.48,-0.004,0.0012,-0.0029,0.0005,-0.0022,-0.0029,21.8,8.11,86.24,446.19,3918.32,178.99,-19.58,4.34,2.68,2.12,2.32,1.35,2.87,3.65,1.78,3.16,1.66,1.16,3.34,4.93,1.39,2.84,2.16,3.25,5.0,2.27,2.37,7.3
2025-11-24T16:17:43.641629,2,student_4_lec_2a96290c_b067bd04,lec_2a96290c,cv101,1,0.95,engaged,58.42,-0.0005,0.0001,-0.0033,0.0013,-0.0019,-0.0034,-5.63,14.54,12.96,370.26,3657.78,179.83,15.83,-0.34,2.36,1.88,2.64,2.06,3.09,2.94,1.94,3.01,1.74,1.22,3.26,5.0,1.45,2.34,2.66,3.59,0.0,2.42,2.29,0.88
2025-11-24T16:17:44.661812,3,student_4_lec_2a96290c_b067bd04,lec_2a96290c,cv101,1,0.95,partially_engaged,48.27,-0.0034,-0.0021,-0.0034,0.0014,-0.0021,-0.0034,11.77,-147.95,62.26,384.49,3647.93,-177.62,5.69,0.06,2.06,1.57,2.94,2.32,3.24,2.68,1.98,2.85,1.87,1.31,3.13,5.0,1.56,2.12,2.88,3.64,0.0,2.56,2.19,0.36
2025-11-24T16:17:45.671897,4,student_4_lec_2a96290c_b067bd04,lec_2a96290c,cv101,1,0.95,partially_engaged,48.87,-0.0032,-0.0024,-0.0036,0.0006,-0.0007,-0.0035,16.05,-157.47,97.35,385.53,3611.96,-179.22,-5.58,1.55,1.93,1.48,3.07,2.46,3.2,2.54,1.93,2.87,1.91,1.34,3.09,5.0,1.59,2.21,2.79,3.63,0.0,2.56,2.16,0.08
2025-11-24T16:17:46.697807,5,student_4_lec_2a96290c_b067bd04,lec_2a96290c,cv101,1,0.95,partially_engaged,48.89,-0.0026,-0.0016,-0.0034,0.0004,-0.0031,-0.0034,15.36,-146.22,91.27,387.71,3631.45,-179.12,-3.59,1.3,2.18,1.68,2.82,2.49,3.21,2.51,1.92,2.86,1.88,1.32,3.12,5.0,1.57,2.24,2.76,3.63,0.0,2.54,2.23,0.02
2025-11-24T16:17:47.707686,6,student_4_lec_2a96290c_b067bd04,lec_2a96290c,cv101,1,0.95,partially_engaged,49.7,-0.0037,-0.0022,-0.0035,0.0006,-0.0032,-0.0035,17.96,-142.59,96.81,391.45,3621.69,-178.85,-8.03,2.05,2.06,1.54,2.94,2.61,3.32,2.39,1.92,2.8,1.85,1.29,3.15,5.0,1.54,2.5,2.5,3.61,0.0,2.58,2.18,0
2025-11-24T16:17:48.727761,7,student_4_lec_2a96290c_b067bd04,lec_2a96290c,cv101,1,0.95,engaged,72.0,-0.0018,-0.0013,-0.0033,0.0012,0.0,-0.0033,3.83,10.67,121.06,408.54,3589.72,-178.14,-13.55,1.97,2.48,1.91,2.52,2.33,3.25,2.67,1.97,3.04,1.74,1.21,3.26,5.0,1.45,2.02,2.98,3.57,0.0,2.5,2.3,0.34
2025-11-24T16:17:49.751882,8,student_4_lec_2a96290c_b067bd04,lec_2a96290c,cv101,1,0.95,highly_engaged,75.06,-0.001,-0.0013,-0.0035,0.0007,0.0003,-0.0034,2.52,7.79,152.02,389.2,3494.98,-179.87,-22.85,2.45,1.74,1.16,3.26,2.94,3.3,2.06,1.94,2.93,1.77,1.24,3.23,5.0,1.48,2.36,2.64,3.68,0.0,2.54,2.05,0
2025-11-24T16:17:50.769253,9,student_4_lec_2a96290c_b067bd04,lec_2a96290c,cv101,1,0.95,engaged,50.93,-0.0006,-0.0021,-0.0035,0.0011,-0.0072,-0.0033,-3.81,-132.05,193.09,365.93,3432.6,-178.52,-25.34,2.03,1.76,1.18,3.24,2.8,3.47,2.2,2.01,2.94,1.79,1.26,3.21,5.0,1.5,2.44,2.56,3.65,0.0,2.63,2.06,0
2025-11-24T16:17:51.783791,10,student_4_lec_2a96290c_b067bd04,lec_2a96290c,cv101,1,0.95,engaged,51.03,-0.0012,-0.0008,-0.0036,0.001,-0.0086,-0.0035,0.67,-139.52,180.75,365.85,3375.82,-175.5,-20.71,-0.05,1.72,1.2,3.28,2.78,3.38,2.22,2.04,2.89,2.03,1.42,2.97,5.0,1.69,2.4,2.6,3.62,0.0,2.71,2.07,0
