timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-11-24T15:49:26.923016,1,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,55.57,-0.0026,-0.0013,-0.0045,0.0026,-0.0029,-0.0047,-0.08,-156.22,-132.35,177.43,2591.53,-169.9,14.53,-0.6,2.99,2.23,2.01,3.19,4.35,1.81,2.83,3.77,2.33,1.63,2.67,5.0,1.94,2.64,2.36,4.39,0.0,3.34,2.41,0
2025-11-24T15:49:27.881812,2,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,58.54,-0.006,-0.0027,-0.0045,-0.0022,-0.0045,-0.0046,-140.79,-142.62,-106.39,108.31,2656.83,-175.01,10.29,-1.13,2.07,1.49,2.93,3.81,4.28,1.19,2.66,3.78,2.46,1.72,2.54,5.0,2.05,0.72,4.28,4.83,0.0,3.37,2.16,0
2025-11-24T15:49:28.911829,3,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,0,0.0,no_face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24T15:49:29.929487,4,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,65.32,-0.0035,-0.0032,-0.0049,0.0027,-0.0054,-0.0055,4.48,-141.1,-372.44,277.99,2015.6,-166.67,24.43,-2.65,2.48,1.4,2.52,4.85,5.0,0.15,3.61,3.97,2.66,1.86,2.34,5.0,2.22,0.49,4.51,4.44,0.0,3.83,2.13,0
2025-11-24T15:49:30.940006,5,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,0,0.0,no_face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-24T15:49:31.962154,6,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,61.83,0.0002,-0.0061,-0.005,0.0034,-0.0061,-0.0055,162.73,-130.91,291.55,-355.06,-2481.04,-156.88,29.24,-175.99,3.53,2.42,1.47,4.03,5.0,0.97,3.51,3.74,2.87,2.01,2.13,4.88,2.39,1.61,3.39,3.34,0.0,3.94,2.47,0
2025-11-24T15:49:32.970376,7,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,56.85,-0.0009,-0.003,-0.0048,0.005,-0.0047,-0.0051,-16.71,-142.57,-251.28,168.84,2290.21,-176.29,26.54,-2.61,1.82,1.23,3.18,2.87,4.87,2.13,2.42,4.11,2.86,2.0,2.14,5.0,2.38,1.75,3.25,5.0,0.0,3.87,2.08,0
2025-11-24T15:49:33.994488,8,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,56.33,-0.0027,-0.0018,-0.0049,-0.0026,-0.0014,-0.0051,-152.14,-162.39,-211.24,145.16,2455.23,-175.2,19.77,-1.71,2.36,1.68,2.64,2.96,4.64,2.04,2.74,4.09,2.78,1.94,2.22,5.0,2.31,0.98,4.02,5.0,0.0,3.71,2.23,0
2025-11-24T15:49:35.035366,9,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,54.26,-0.0044,-0.003,-0.0045,0.0015,-0.0004,-0.0046,13.37,-161.02,-164.13,146.08,2655.71,-172.37,15.63,-2.61,2.35,1.72,2.65,2.77,4.32,2.23,2.66,3.63,2.56,1.79,2.44,5.0,2.13,1.01,3.99,4.62,0.0,3.44,2.24,0
2025-11-24T15:49:36.059331,10,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,53.67,-0.0047,-0.0024,-0.0047,0.0012,-0.0009,-0.0048,15.29,-161.45,-86.35,132.51,2744.39,-177.46,4.56,-3.5,2.58,2.03,2.42,2.79,4.15,2.21,2.54,4.15,2.49,1.74,2.51,5.0,2.07,1.57,3.43,4.71,0.0,3.32,2.34,0
2025-11-24T15:49:37.083594,11,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,53.16,-0.0033,0.0014,-0.0044,-0.0002,-0.0017,-0.0044,-160.55,1.44,-74.91,117.46,2769.3,-176.47,3.69,-2.97,2.75,2.2,2.25,2.68,4.22,2.32,2.51,3.69,2.4,1.68,2.6,5.0,2.0,1.28,3.72,4.8,0.0,3.31,2.4,0
2025-11-24T15:49:38.089252,12,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,54.11,-0.0081,-0.0006,-0.0045,0.0015,-0.001,-0.0045,21.27,-170.17,-86.13,117.37,2777.16,-175.72,0.35,-2.96,2.66,2.14,2.34,2.82,4.27,2.18,2.48,3.65,2.51,1.76,2.49,5.0,2.09,1.17,3.83,4.72,0.0,3.39,2.38,0
2025-11-24T15:49:39.112730,13,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,55.26,-0.0033,-0.0019,-0.0045,0.0012,-0.0005,-0.0046,11.2,-165.27,-135.79,125.24,2737.05,-174.2,15.89,-3.56,2.1,1.6,2.9,3.13,4.24,1.87,2.51,3.67,2.35,1.65,2.65,5.0,1.96,1.41,3.59,4.67,0.0,3.29,2.2,0
2025-11-24T15:49:40.129776,14,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,53.85,-0.008,-0.0015,-0.0045,0.0001,0.0009,-0.0045,29.52,3.3,-72.33,90.01,2769.4,-179.95,3.8,-2.72,2.08,1.62,2.92,2.83,4.08,2.17,2.41,4.18,2.53,1.77,2.47,5.0,2.11,1.08,3.92,4.95,0.0,3.3,2.21,0
2025-11-24T15:49:41.147478,15,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,65.95,-0.0061,-0.0009,-0.0044,0.0006,0.0,-0.0045,23.35,5.7,-98.07,102.02,2742.55,-176.0,14.38,-1.72,2.51,1.95,2.49,2.88,4.14,2.12,2.47,3.76,2.43,1.7,2.57,5.0,2.02,1.91,3.09,4.77,0.0,3.29,2.32,0
2025-11-24T15:49:42.171843,16,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,54.23,-0.0081,0.0001,-0.0044,-0.0028,-0.0089,-0.0044,-132.82,31.36,-46.02,97.08,2797.37,-177.02,-0.36,-1.76,2.36,1.86,2.64,2.96,4.14,2.04,2.44,3.76,2.38,1.66,2.62,5.0,1.98,1.28,3.72,4.81,0.0,3.26,2.29,0
2025-11-24T15:49:43.179365,17,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,highly_engaged,77.59,-0.0033,0.002,-0.0044,0.0019,-0.0001,-0.0044,6.64,-11.46,-31.15,74.58,2774.4,-177.25,-7.2,-1.74,2.39,1.84,2.61,2.69,4.28,2.31,2.35,3.9,2.46,1.72,2.54,5.0,2.05,1.17,3.83,4.87,0.0,3.37,2.28,0
2025-11-24T15:49:44.205773,18,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,56.81,-0.0019,-0.0037,-0.0045,-0.0006,-0.0062,-0.0043,-164.4,-132.72,65.23,62.8,2699.21,-177.47,-23.45,-0.17,2.05,1.39,2.95,3.48,4.26,1.52,2.3,4.09,2.3,1.61,2.7,5.0,1.92,0.89,4.11,4.91,0.0,3.28,2.13,0
2025-11-24T15:49:45.305952,19,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,54.29,-0.009,-0.0001,-0.0043,0.0016,-0.0022,-0.0043,22.3,-165.89,-56.23,86.04,2818.8,-177.46,1.28,-1.36,2.58,2.0,2.42,3.03,4.02,1.97,2.37,3.54,2.45,1.72,2.55,5.0,2.04,1.16,3.84,4.8,0.0,3.23,2.33,0
2025-11-24T15:49:46.305634,20,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,53.81,-0.0034,0.0012,-0.0042,-0.0007,-0.0109,-0.0043,-156.03,26.06,-91.71,76.33,2814.58,-177.58,12.04,-3.71,2.51,1.99,2.49,3.01,3.98,1.99,2.33,3.86,2.29,1.6,2.71,5.0,1.9,1.32,3.68,4.85,0.0,3.13,2.33,0
2025-11-24T15:49:47.333746,21,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,52.45,-0.0064,-0.0011,-0.0044,-0.0033,-0.0046,-0.0044,-133.68,-149.99,-24.37,83.32,2878.04,-177.86,-5.71,-2.13,2.63,2.13,2.37,2.65,3.98,2.35,2.34,3.62,2.42,1.7,2.58,5.0,2.02,1.08,3.92,4.75,0.0,3.2,2.38,0
2025-11-24T15:49:48.335633,22,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,53.98,-0.0042,-0.0009,-0.0043,-0.0011,-0.005,-0.0044,-150.73,-149.66,-80.11,89.41,2823.57,-177.63,8.42,-2.25,2.18,1.69,2.82,2.91,4.11,2.09,2.39,3.9,2.37,1.66,2.63,5.0,1.98,1.48,3.52,4.8,0.0,3.24,2.23,0
2025-11-24T15:49:49.354020,23,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,66.77,-0.0062,-0.0009,-0.0043,0.001,0.0019,-0.0044,20.89,-5.47,-81.26,97.21,2810.93,-176.34,10.0,-1.7,2.41,1.89,2.59,3.15,4.04,1.85,2.4,3.74,2.38,1.66,2.62,5.0,1.98,1.56,3.44,4.78,0.0,3.21,2.3,0
2025-11-24T15:49:50.361122,24,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,52.18,-0.0021,-0.0012,-0.0044,-0.0009,-0.003,-0.0045,-161.74,-155.27,-36.57,114.72,2851.22,-176.31,-0.67,-1.46,2.89,2.34,2.11,2.6,4.04,2.4,2.41,3.68,2.34,1.64,2.66,5.0,1.95,1.71,3.29,4.67,0.0,3.19,2.45,0
2025-11-24T15:49:51.388664,25,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,54.29,-0.0046,-0.0009,-0.0045,0.0021,-0.0014,-0.0044,10.17,-165.29,-7.48,123.33,2790.79,-175.7,-2.99,-0.84,2.74,2.1,2.26,3.0,4.09,2.0,2.47,3.67,2.44,1.71,2.56,5.0,2.03,1.54,3.46,4.66,0.0,3.26,2.37,0
2025-11-24T15:49:52.412593,26,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,54.74,-0.005,-0.0015,-0.0045,0.0005,-0.0025,-0.0046,21.21,-156.46,-72.65,149.32,2755.7,-172.87,4.65,-2.76,2.56,1.9,2.44,2.93,4.27,2.07,2.59,3.55,2.55,1.78,2.45,5.0,2.12,1.74,3.26,4.44,0.0,3.41,2.3,0
2025-11-24T15:49:53.417349,27,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,55.37,-0.0041,-0.0012,-0.0046,0.002,-0.0021,-0.0047,9.44,-160.59,-80.91,148.38,2734.01,-173.29,8.53,-1.88,2.32,1.69,2.68,3.13,4.24,1.87,2.59,3.62,2.43,1.7,2.57,5.0,2.03,1.75,3.25,4.54,0.0,3.33,2.23,0
2025-11-24T15:49:54.437471,28,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,55.01,-0.0023,-0.0017,-0.0045,0.0024,-0.0056,-0.0044,-0.74,-143.94,27.21,191.26,2702.77,-170.32,-11.33,-0.08,3.17,2.28,1.83,2.95,4.44,2.05,2.7,3.54,2.47,1.73,2.53,5.0,2.06,1.84,3.16,4.23,0.0,3.46,2.43,0
2025-11-24T15:49:55.484460,29,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,55.53,-0.0012,-0.0012,-0.0046,0.0006,-0.0037,-0.0045,3.9,-152.86,43.18,202.86,2686.42,-169.78,-14.3,-1.72,3.09,2.26,1.91,3.16,4.4,1.84,2.76,3.55,2.31,1.61,2.69,5.0,1.92,1.93,3.07,4.15,0.0,3.36,2.42,0
2025-11-24T15:49:56.507509,30,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,55.78,-0.0036,-0.002,-0.0046,-0.0022,-0.0038,-0.0045,-148.01,-148.21,-0.09,206.92,2724.29,-168.66,-4.51,-2.29,2.4,1.65,2.6,3.12,4.35,1.88,2.7,3.59,2.51,1.76,2.49,5.0,2.09,2.13,2.87,3.98,0.0,3.43,2.22,0
2025-11-24T15:49:57.532314,31,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,55.11,-0.0017,-0.0004,-0.0046,-0.0013,-0.0028,-0.0046,-162.11,-161.73,-26.34,206.16,2700.05,-169.46,-2.85,-1.76,2.69,1.89,2.31,2.96,4.43,2.04,2.69,3.7,2.45,1.72,2.55,5.0,2.04,1.98,3.02,4.16,0.0,3.44,2.3,0
2025-11-24T15:49:58.543088,32,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,56.69,-0.0034,-0.0012,-0.0046,-0.0028,-0.0022,-0.0046,-145.78,-160.01,-8.98,187.35,2759.05,-171.51,-9.81,-0.32,2.57,1.72,2.43,3.47,4.22,1.53,2.65,3.73,2.38,1.67,2.62,5.0,1.99,1.88,3.12,4.25,0.0,3.3,2.24,0
2025-11-24T15:49:59.557512,33,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,53.97,-0.0041,-0.0007,-0.0044,0.0003,-0.0033,-0.0043,19.88,-157.1,18.94,158.37,2770.65,-171.46,-14.58,-1.67,2.91,2.15,2.09,2.9,4.25,2.1,2.61,3.69,2.27,1.59,2.73,5.0,1.89,1.64,3.36,4.35,0.0,3.26,2.38,0
2025-11-24T15:50:00.605880,34,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,55.87,-0.0027,-0.0023,-0.0046,0.0023,-0.006,-0.0046,2.04,-140.23,21.72,185.83,2681.45,-170.19,-7.28,-0.7,2.93,2.05,2.07,3.23,4.4,1.77,2.73,3.67,2.29,1.6,2.71,5.0,1.91,1.79,3.21,4.25,0.0,3.35,2.35,0
2025-11-24T15:50:01.627407,35,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,56.47,-0.0029,-0.0018,-0.0047,-0.0022,-0.0026,-0.0046,-151.42,-154.65,39.88,208.58,2671.91,-169.99,-12.85,-0.41,3.0,2.13,2.0,3.31,4.44,1.69,2.75,3.48,2.39,1.67,2.61,5.0,1.99,1.29,3.71,4.17,0.0,3.42,2.38,0
2025-11-24T15:50:02.652919,36,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,56.45,-0.0035,-0.0026,-0.0046,-0.0014,-0.0026,-0.0045,-152.88,-149.78,26.31,222.69,2715.91,-167.3,-6.95,-0.36,2.9,2.0,2.1,3.28,4.46,1.72,2.78,3.45,2.4,1.68,2.6,5.0,2.0,1.77,3.23,3.86,0.0,3.43,2.33,0
2025-11-24T15:50:03.661065,37,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,55.81,-0.0017,-0.0023,-0.0048,0.001,-0.0074,-0.0047,4.05,-138.49,50.56,235.09,2596.11,-164.85,-12.03,-0.46,2.98,2.11,2.02,3.16,4.33,1.84,2.87,3.57,2.54,1.78,2.46,5.0,2.12,1.92,3.08,3.86,0.0,3.44,2.37,0
2025-11-24T15:50:04.684293,38,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,57.61,-0.0027,-0.0017,-0.0048,0.0003,-0.0031,-0.0047,13.2,-153.88,6.32,242.37,2635.99,-166.7,-4.95,-0.73,2.94,1.95,2.06,3.44,4.49,1.56,2.83,3.51,2.61,1.82,2.39,5.0,2.17,2.19,2.81,3.84,0.0,3.55,2.32,0
2025-11-24T15:50:05.727495,39,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,56.56,-0.0016,-0.0024,-0.0047,-0.0018,-0.0035,-0.0047,-160.15,-148.25,-25.58,245.01,2608.1,-166.53,5.85,-0.22,2.79,1.85,2.21,3.13,4.59,1.87,2.86,3.51,2.6,1.82,2.4,5.0,2.17,2.26,2.74,3.89,0.0,3.59,2.28,0
2025-11-24T15:50:06.747618,40,student_4_lec_2a96290c_c3f9f34a,lec_2a96290c,cv101,1,0.95,engaged,57.37,-0.0013,-0.0028,-0.0046,-0.0021,-0.0056,-0.0046,-159.86,-139.24,17.96,250.1,2627.47,-167.16,-6.24,0.03,2.92,1.9,2.08,3.45,4.56,1.55,2.84,3.26,2.34,1.64,2.66,5.0,1.95,2.09,2.91,3.87,0.0,3.45,2.3,0
