timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-10-31T08:49:50.476874,1,student_4_lec_2a96290c_c455596c,lec_2a96290c,cv101,1,0.95,partially_engaged,48.24,0.0002,0.008,-0.0033,0.0089,-0.0003,-0.0034,143.44,-30.76,166.34,898.82,3473.81,169.56,2.04,-3.28,1.72,1.2,3.28,2.07,3.53,2.93,1.9,4.42,1.96,1.37,3.04,4.4,1.63,2.06,2.94,3.63,0.0,2.75,2.07,0.86
2025-10-31T08:49:51.458069,2,student_4_lec_2a96290c_c455596c,lec_2a96290c,cv101,1,0.95,engaged,50.64,0.0006,-0.0044,-0.0043,0.0028,-0.002,-0.0044,159.93,-144.98,91.14,784.42,2994.15,172.15,18.79,-11.33,1.08,0.65,3.92,2.21,3.99,2.79,2.13,3.56,2.18,1.53,2.82,5.0,1.82,1.2,3.8,4.11,0.0,3.08,1.88,0.58
2025-10-31T08:49:52.480928,3,student_4_lec_2a96290c_c455596c,lec_2a96290c,cv101,1,0.95,engaged,51.59,0.0002,-0.0003,-0.0044,0.0049,-0.0034,-0.0045,155.29,-159.71,81.94,774.72,2859.27,179.17,17.02,-7.48,1.69,1.24,3.31,2.34,4.1,2.66,2.44,3.27,2.34,1.64,2.66,5.0,1.95,1.57,3.43,3.86,0.0,3.22,2.08,0.32
2025-10-31T08:49:53.506686,4,student_4_lec_2a96290c_c455596c,lec_2a96290c,cv101,1,0.95,engaged,52.5,0.0008,-0.0023,-0.005,0.0033,-0.0084,-0.0053,159.08,-138.83,-6.29,760.07,2778.08,175.79,17.66,-10.29,1.49,0.9,3.51,2.65,3.88,2.35,2.45,3.8,2.37,1.66,2.63,5.0,1.98,2.2,2.8,3.89,0.0,3.12,1.97,0
2025-10-31T08:49:54.516128,5,student_4_lec_2a96290c_c455596c,lec_2a96290c,cv101,1,0.95,engaged,51.18,0.0013,0.0053,-0.0043,0.0001,-0.0032,-0.0045,170.73,-7.55,24.6,728.43,2859.2,165.18,18.71,-12.29,1.78,1.17,3.22,2.58,3.59,2.42,2.26,3.95,2.28,1.6,2.72,5.0,1.9,1.2,3.8,4.8,0.0,2.93,2.06,0
2025-10-31T08:49:55.536297,6,student_4_lec_2a96290c_c455596c,lec_2a96290c,cv101,1,0.95,engaged,51.05,0.002,-0.0026,-0.0041,0.0022,-0.001,-0.0043,153.49,-157.42,34.48,712.97,2826.06,170.41,20.62,-13.09,1.1,0.74,3.9,2.16,4.04,2.84,2.25,3.25,2.47,1.73,2.53,5.0,2.05,0.85,4.15,4.77,0.0,3.25,1.91,0.68
2025-10-31T08:49:56.550544,7,student_4_lec_2a96290c_c455596c,lec_2a96290c,cv101,1,0.95,engaged,52.94,0.0026,-0.0051,-0.0045,0.0017,-0.0024,-0.0046,154.97,-141.89,173.29,665.06,2839.86,167.2,8.77,-8.63,1.31,0.82,3.69,2.56,4.16,2.44,2.16,3.96,2.4,1.68,2.6,5.0,2.0,1.19,3.81,5.0,0.0,3.28,1.94,0
2025-10-31T08:49:57.571352,8,student_4_lec_2a96290c_c455596c,lec_2a96290c,cv101,1,0.95,engaged,53.72,0.0015,-0.0039,-0.0043,-0.0039,-0.0019,-0.0044,11.47,-147.2,134.1,676.51,2822.53,171.51,17.4,-10.42,1.41,0.91,3.59,2.85,4.05,2.15,2.29,3.61,2.32,1.62,2.68,5.0,1.93,1.41,3.59,4.86,0.0,3.18,1.97,0
2025-10-31T08:49:58.591985,9,student_4_lec_2a96290c_c455596c,lec_2a96290c,cv101,1,0.95,engaged,52.28,0.0007,-0.0028,-0.0042,0.0074,-0.0036,-0.0044,145.29,-143.56,65.0,750.02,2790.03,177.18,26.72,-12.77,1.35,0.79,3.65,2.37,4.29,2.63,2.55,2.82,2.29,1.6,2.71,5.0,1.9,1.47,3.53,4.0,0.0,3.29,1.93,0.26
2025-10-31T08:49:59.598867,10,student_4_lec_2a96290c_c455596c,lec_2a96290c,cv101,1,0.95,engaged,52.38,-0.0014,0.0001,-0.0047,-0.0009,-0.006,-0.005,-166.92,24.13,-19.49,732.17,2696.2,174.14,19.79,-13.79,1.1,0.58,3.9,2.4,4.16,2.6,2.34,3.65,2.43,1.7,2.57,5.0,2.03,1.66,3.34,4.34,0.0,3.29,1.86,0.2
