timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2026-01-30T17:56:09.474075,1,student_4_lec_2a96290c_e61463b8,lec_2a96290c,cv101,0,0.0,no_face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30T17:56:10.467845,2,student_4_lec_2a96290c_e61463b8,lec_2a96290c,cv101,1,0.95,partially_engaged,44.84,-0.0018,-0.0019,-0.0031,0.0069,-0.0068,-0.0032,-17.63,-131.94,-378.05,1100.35,3963.55,-170.68,4.07,-5.06,1.22,0.77,3.78,1.79,2.72,3.21,1.77,1.96,1.85,1.3,3.15,5.0,1.54,3.4,1.6,2.82,0.0,2.29,1.92,1.42
2026-01-30T17:56:11.487228,3,student_4_lec_2a96290c_e61463b8,lec_2a96290c,cv101,0,0.0,no_face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30T17:56:12.500801,4,student_4_lec_2a96290c_e61463b8,lec_2a96290c,cv101,1,0.95,partially_engaged,46.97,0.0036,-0.0019,-0.0032,0.002,-0.0001,-0.0035,140.79,-163.91,-911.11,825.58,3422.93,178.67,16.79,-8.58,1.66,1.14,3.34,2.05,3.17,2.95,2.02,2.43,1.82,1.28,3.18,5.0,1.52,2.5,2.5,3.3,0.0,2.5,2.05,0.9
2026-01-30T17:56:13.525965,5,student_4_lec_2a96290c_e61463b8,lec_2a96290c,cv101,0,0.0,no_face,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-01-30T17:56:14.546799,6,student_4_lec_2a96290c_e61463b8,lec_2a96290c,cv101,1,0.95,partially_engaged,47.32,-0.0005,0.0001,-0.0037,0.0074,-0.002,-0.0039,-27.45,13.02,-407.68,833.82,3368.45,176.91,9.04,-0.91,1.86,1.37,3.14,2.08,3.12,2.92,1.92,2.94,2.06,1.44,2.94,5.0,1.72,2.58,2.42,3.75,0.0,2.59,2.12,0.84
2026-01-30T17:56:15.551398,7,student_4_lec_2a96290c_e61463b8,lec_2a96290c,cv101,1,0.95,engaged,59.2,-0.0,-0.0019,-0.0038,0.0038,0.0011,-0.0041,-21.22,5.89,-394.02,838.2,3273.12,-176.73,7.55,-4.53,1.5,1.06,3.5,1.93,3.26,3.07,2.07,2.82,2.09,1.46,2.91,5.0,1.74,3.14,1.86,3.62,0.0,2.67,2.02,1.14
2026-01-30T17:56:16.583705,8,student_4_lec_2a96290c_e61463b8,lec_2a96290c,cv101,1,0.95,partially_engaged,48.15,-0.0022,-0.0007,-0.004,0.0045,-0.001,-0.0043,-8.87,-168.77,-406.75,811.0,3128.77,172.03,9.12,-6.6,1.94,1.41,3.06,2.15,3.27,2.85,2.05,3.21,2.14,1.5,2.86,5.0,1.78,2.27,2.73,3.95,0.0,2.71,2.14,0.7
2026-01-30T17:56:17.585356,9,student_4_lec_2a96290c_e61463b8,lec_2a96290c,cv101,1,0.95,partially_engaged,49.66,-0.0013,-0.0022,-0.0037,0.007,0.008,-0.004,-20.1,-15.93,-447.8,875.25,3140.97,176.52,17.23,-6.51,1.6,1.09,3.4,2.21,3.7,2.79,2.26,2.79,2.14,1.5,2.86,5.0,1.78,3.16,1.84,3.7,0.0,2.92,2.03,0.58
2026-01-30T17:56:18.617014,10,student_4_lec_2a96290c_e61463b8,lec_2a96290c,cv101,1,0.95,partially_engaged,49.99,0.0002,-0.0024,-0.004,0.0044,-0.0009,-0.0043,155.28,-159.02,-419.48,883.11,3010.48,-172.44,10.7,-2.31,1.81,1.26,3.19,2.29,3.71,2.71,2.44,2.53,2.15,1.51,2.85,5.0,1.79,3.08,1.92,3.5,0.0,2.93,2.09,0.42
