timestamp,frame,session_id,lecture_id,course_id,face_detected,confidence,status,engagement_score,gaze_0_x,gaze_0_y,gaze_0_z,gaze_1_x,gaze_1_y,gaze_1_z,gaze_angle_x,gaze_angle_y,pose_Tx,pose_Ty,pose_Tz,pose_Rx,pose_Ry,pose_Rz,AU01_r,AU02_r,AU04_r,AU05_r,AU06_r,AU07_r,AU09_r,AU10_r,AU12_r,AU14_r,AU15_r,AU17_r,AU20_r,AU23_r,AU25_r,AU26_r,AU45_r,smile_intensity,confusion_level,drowsiness_level
2025-11-24T16:06:41.351918,1,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,46.41,-0.0031,-0.0003,-0.0031,-0.0044,-0.0044,-0.0031,-130.04,-150.08,-132.42,386.03,3767.64,-176.79,9.43,1.33,2.33,1.81,2.67,2.01,3.07,2.99,1.84,2.83,1.88,1.32,3.12,5.0,1.57,2.41,2.59,3.39,0.0,2.47,2.27,0.98
2025-11-24T16:06:42.340400,2,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,46.17,-0.0031,-0.0007,-0.0031,0.0008,-0.0017,-0.0031,15.24,-159.84,-51.39,354.58,3758.7,178.06,-9.87,3.25,2.53,2.03,2.47,1.93,3.2,3.07,1.87,2.96,1.78,1.25,3.22,5.0,1.49,2.01,2.99,3.74,0.0,2.49,2.34,1.14
2025-11-24T16:06:43.366415,3,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,48.53,0.0014,0.0001,-0.0033,0.0013,-0.0014,-0.0035,157.88,10.03,-132.45,388.28,3409.98,-174.96,18.96,-0.41,2.37,1.77,2.63,2.4,3.27,2.6,2.07,3.08,1.82,1.27,3.18,5.0,1.51,2.26,2.74,3.58,0.0,2.54,2.26,0.2
2025-11-24T16:06:44.405330,4,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,engaged,72.72,-0.0011,-0.0024,-0.0034,0.0012,0.0004,-0.0035,-0.36,13.88,-159.12,381.57,3311.12,-176.27,23.74,-3.09,2.09,1.5,2.91,2.35,3.32,2.65,2.17,2.98,1.92,1.34,3.08,5.0,1.6,2.4,2.6,3.54,0.0,2.62,2.17,0.3
2025-11-24T16:06:45.422501,5,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,engaged,50.07,-0.0018,-0.0011,-0.0034,0.0048,-0.0017,-0.0036,-12.54,-158.14,-159.45,379.07,3279.39,-175.29,23.78,-3.75,1.96,1.39,3.04,2.58,3.37,2.42,2.22,2.9,2.02,1.42,2.98,5.0,1.69,2.62,2.38,3.53,0.0,2.7,2.13,0
2025-11-24T16:06:46.451274,6,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,47.47,-0.0009,-0.0016,-0.0034,0.0002,-0.0013,-0.0035,6.0,-157.07,-137.52,371.45,3337.74,-178.04,20.63,-2.9,2.19,1.64,2.81,2.06,3.37,2.94,2.1,3.16,1.87,1.31,3.13,5.0,1.56,2.32,2.68,3.75,0.0,2.62,2.21,0.88
2025-11-24T16:06:47.458338,7,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,engaged,73.01,0.0,0.0002,-0.0034,-0.0005,-0.0011,-0.0034,3.66,7.08,-132.75,359.85,3317.58,-177.61,19.9,-3.09,2.19,1.6,2.81,2.39,3.38,2.61,2.09,3.12,1.91,1.33,3.09,5.0,1.59,2.29,2.71,3.76,0.0,2.65,2.2,0.22
2025-11-24T16:06:48.507491,8,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,48.69,-0.0002,-0.0015,-0.0034,0.0011,-0.003,-0.0035,-6.92,-147.6,-150.21,380.85,3360.9,-176.83,21.59,-3.29,2.08,1.55,2.92,2.35,3.3,2.65,2.12,2.91,1.94,1.36,3.06,5.0,1.62,2.48,2.52,3.67,0.0,2.62,2.18,0.3
2025-11-24T16:06:49.530486,9,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,48.87,-0.0012,-0.0035,-0.0035,0.0014,-0.0034,-0.0036,-1.46,-135.73,-116.47,237.03,3150.99,174.27,19.35,-2.84,1.77,1.41,3.23,2.22,3.25,2.78,1.84,2.92,2.4,1.68,2.6,5.0,2.0,0.29,4.71,4.76,0.0,2.83,2.14,0.56
2025-11-24T16:06:50.557712,10,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,48.27,-0.0006,-0.0023,-0.0035,0.0025,-0.0023,-0.0037,-12.33,-147.5,-118.15,249.63,3339.52,177.68,13.79,-4.01,1.63,1.34,3.37,2.09,3.17,2.91,1.96,2.86,2.48,1.73,2.52,5.0,2.06,1.24,3.76,4.24,0.0,2.83,2.11,0.82
2025-11-24T16:06:51.574859,11,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,48.42,-0.0008,-0.0029,-0.0035,0.0013,-0.0032,-0.0037,-3.29,-140.06,-125.7,262.39,3256.6,-178.07,13.27,-4.94,1.71,1.33,3.29,1.91,3.36,3.09,2.1,2.4,2.72,1.9,2.28,5.0,2.26,0.74,4.26,3.94,0.0,3.04,2.11,1.18
2025-11-24T16:06:52.578498,12,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,32.17,0.0018,0.0026,-0.0036,0.001,0.0009,-0.0039,159.53,155.98,-172.64,315.69,3327.45,179.52,16.88,-5.01,1.89,1.42,3.11,1.45,3.28,3.55,2.05,3.31,2.19,1.53,2.81,5.0,1.82,2.03,2.97,3.95,5.0,2.73,2.14,7.1
2025-11-24T16:06:53.601869,13,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,47.78,-0.0017,-0.0029,-0.0035,0.0005,-0.0019,-0.0038,9.35,-146.67,-187.55,349.49,3358.58,-175.88,19.06,-4.9,1.5,1.04,3.5,1.95,3.47,3.05,2.07,2.93,2.05,1.44,2.95,5.0,1.71,1.74,3.26,3.74,0.0,2.76,2.01,1.1
2025-11-24T16:06:54.642528,14,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,49.12,-0.0044,-0.0014,-0.0035,0.0016,-0.0026,-0.0036,13.77,-151.2,-107.48,386.66,3489.32,-174.51,2.28,-3.35,1.71,1.3,3.29,2.35,3.28,2.65,2.03,2.95,2.17,1.52,2.83,5.0,1.81,2.11,2.89,3.62,0.0,2.72,2.1,0.3
2025-11-24T16:06:55.667443,15,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,48.29,-0.0021,-0.0008,-0.0035,-0.0001,-0.0011,-0.0035,-163.34,-164.8,-56.18,385.05,3569.48,-178.99,-5.01,-1.25,1.82,1.36,3.18,2.26,3.18,2.74,1.95,3.0,2.08,1.46,2.92,5.0,1.73,2.5,2.5,3.66,0.0,2.63,2.12,0.48
2025-11-24T16:06:56.687993,16,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,47.95,-0.0029,-0.0015,-0.0035,-0.0,-0.0013,-0.0035,-159.64,-158.63,-48.34,382.25,3555.49,-178.14,-5.18,-1.22,2.05,1.57,2.95,2.15,3.25,2.85,1.98,2.94,2.09,1.46,2.91,5.0,1.74,2.13,2.87,3.68,0.0,2.67,2.19,0.7
2025-11-24T16:06:57.698346,17,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,47.5,-0.0041,-0.0015,-0.0035,-0.0016,-0.0018,-0.0035,-142.93,-155.13,-29.34,376.45,3554.95,-179.23,-7.47,-0.11,2.12,1.63,2.88,2.04,3.3,2.96,1.98,2.96,2.04,1.42,2.96,5.0,1.7,2.09,2.91,3.76,0.0,2.67,2.21,0.92
2025-11-24T16:06:58.744639,18,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,48.86,-0.0059,-0.0017,-0.0036,0.0002,-0.0016,-0.0036,27.98,-155.15,-38.53,379.58,3520.6,-176.46,-1.97,-0.57,2.02,1.54,2.98,2.31,3.28,2.69,1.99,2.9,2.16,1.51,2.84,5.0,1.8,2.29,2.71,3.64,0.0,2.72,2.18,0.38
2025-11-24T16:06:59.753199,19,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,48.4,-0.0063,-0.0018,-0.0035,0.0009,-0.0031,-0.0034,23.44,-144.87,-20.9,384.2,3492.35,-174.92,-8.23,-0.56,2.09,1.58,2.91,2.15,3.39,2.85,2.07,2.8,2.13,1.49,2.87,5.0,1.77,2.19,2.81,3.58,0.0,2.76,2.19,0.7
2025-11-24T16:07:00.782147,20,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,49.46,-0.0018,-0.0013,-0.0036,0.0001,-0.0013,-0.0035,11.91,-160.45,32.42,424.5,3470.28,-173.53,-16.78,2.99,2.47,1.81,2.53,2.57,3.31,2.43,2.09,2.8,1.88,1.32,3.12,5.0,1.57,2.9,2.1,3.38,0.0,2.59,2.27,0
2025-11-24T16:07:01.811947,21,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,48.76,-0.0009,-0.001,-0.0037,-0.0001,-0.0021,-0.0036,-172.11,-157.19,19.13,430.4,3439.78,-171.23,-8.64,1.41,2.47,1.85,2.53,2.37,3.27,2.63,2.16,2.67,2.03,1.42,2.97,5.0,1.69,2.79,2.21,3.34,0.0,2.65,2.28,0.26
2025-11-24T16:07:02.817455,22,student_4_lec_2a96290c_fc0dad25,lec_2a96290c,cv101,1,0.95,partially_engaged,49.88,-0.0019,-0.0008,-0.0035,0.0015,-0.0039,-0.0035,2.36,-149.14,-1.15,438.43,3424.01,-170.89,-6.21,1.44,2.36,1.7,2.64,2.56,3.38,2.44,2.16,2.66,2.01,1.41,2.99,5.0,1.68,2.81,2.19,3.29,0.0,2.69,2.23,0
